"","jersey_number","name","games","games_started","minutes","points","fgm_2","fga_2","p2_perc","fgm_3","fga_3","p3_perc","fgm","fga","fg_perc","ftm","fta","ft_perc","dr","or","tr","as","st","to","bs","pf","ef","plus_minus","dbl_dbl","season","team"
"1",NA,"Brooks R. (SG)",19,19,"33:15","15.9",4.8,8.8,"54.8%",1.3,3.5,"37.3%",6.2,12.4,"49.8%",2.3,3,"75.4%",3.4,0.5,4,1.4,1,2,0.2,1.8,"13.4",-6.1,0,"2012-2013","421-gie"
"2","22","Baxter J. (SF)",9,9,"32:36","14.6",4.3,8.6,"50.6%",1.3,4.4,"30.0%",5.7,13,"43.6%",1.9,3,"63.0%",2.7,0.3,3,2.1,0.9,1.8,0.2,1.3,"10.6",-11.7,0,"2012-2013","421-gie"
"3","15","Prowell L. (PF)",18,18,"26:46","12.4",3.3,5.3,"61.5%",1.4,2.8,"52.0%",4.7,8.1,"58.2%",1.6,1.7,"90.3%",3,1,4,1.3,0.5,1.8,0.8,3.3,"13.6",-5.1,0,"2012-2013","421-gie"
"4","5","Ovcina E. (C)",30,30,"32:23","12.1",3.1,6.4,"47.9%",1.6,4.4,"36.8%",4.7,10.8,"43.4%",1.1,1.3,"82.1%",5.8,1.2,7,3.5,0.6,3.3,0.3,2.6,"13.8",-17,0.2,"2012-2013","421-gie"
"5","14","Ortner B. (C)",4,4,"28:17","11.0",4.8,9.3,"51.4%",0.3,0.3,"100.0%",5,9.5,"52.6%",0.8,1.5,"50.0%",4,1.8,5.8,2,0.8,1.5,1,3.5,"13.8",-9.3,0,"2012-2013","421-gie"
"6","17","Perkovic J. (PF)",10,0,"21:44","8.7",2.5,4.1,"61.0%",0.4,1.8,"22.2%",2.9,5.9,"49.2%",2.5,3.4,"73.5%",3,0.9,3.9,1.3,0.2,1.4,0.5,2.7,"9.3",-4.9,0,"2012-2013","421-gie"
"7","4","Curry S. (PG)",31,16,"24:01","8.4",1.8,3.6,"50.9%",1.1,3.4,"32.7%",2.9,7,"42.1%",1.4,1.7,"79.6%",1.5,0.6,2.1,1.7,0.9,1.7,0,2.2,"6.9",-11.6,0,"2012-2013","421-gie"
"8","8","Zazai A. (PG)",28,20,"23:08","8.2",1.5,3.6,"43.0%",0.9,1.6,"54.5%",2.4,5.1,"46.5%",2.5,3.4,"75.5%",1.6,0.2,1.8,3.3,0.9,2.1,0,2.4,"8.4",-11.1,0,"2012-2013","421-gie"
"9","4","Harris D. (PG)",19,12,"23:23","6.8",2.4,4.3,"56.1%",0.3,1,"26.3%",2.7,5.3,"50.5%",1.2,1.7,"66.7%",1.7,0.3,2,3,0.5,2.3,0,2.6,"6.8",-6.4,0,"2012-2013","421-gie"
"10","10","Büchert  A. (C)",28,10,"15:02","5.9",2.3,4.7,"49.2%",0,0,"0.0%",2.3,4.7,"49.2%",1.3,2.4,"54.6%",2,1.4,3.4,0.3,0.4,1.4,0.6,1.8,"5.6",-9.4,0,"2012-2013","421-gie"
"11","9","Spohr D. (SF)",30,15,"18:05","5.5",0.8,1.9,"43.9%",0.9,2.6,"35.9%",1.8,4.5,"39.3%",1,1.4,"75.6%",1.7,0.4,2.1,0.6,0.3,1,0,2,"4.4",-12.6,0,"2012-2013","421-gie"
"12","6","Bonds J. (SF)",5,0,"22:48","5.2",1.4,4.4,"31.8%",0.2,1,"20.0%",1.6,5.4,"29.6%",1.8,2.4,"75.0%",1.6,1.4,3,0.6,0.8,1.4,0,1.4,"3.8",-5,0,"2012-2013","421-gie"
"13","7","Faßler O. (SG)",34,25,"24:19","4.9",1.3,3.3,"40.5%",0.5,1.9,"27.7%",1.9,5.2,"35.8%",0.7,1.4,"52.2%",1.6,0.6,2.2,1.8,0.4,1.7,0,1.4,"3.7",-13.3,0,"2012-2013","421-gie"
"14","6","Hanke R. (C)",14,0,"13:21","4.4",1.6,3.1,"52.3%",0,0,"0.0%",1.6,3.1,"52.3%",1.1,1.3,"83.3%",1.4,0.9,2.3,0.1,0.1,0.9,0.3,2,"4.6",-14.6,0,"2012-2013","421-gie"
"15","6","Fields J. (PF)",7,0,"10:50","3.1",1.4,1.7,"83.3%",0,0,"0.0%",1.4,1.7,"83.3%",0.3,0.4,"66.7%",1.7,0.6,2.3,0.1,0,0.4,1.3,1.6,"6.0",-4.3,0,"2012-2013","421-gie"
"16","31","Amaize R. (SG)",11,0,"09:22","2.0",0.5,1.6,"33.3%",0.3,1.1,"25.0%",0.8,2.7,"30.0%",0.1,0.4,"25.0%",0.5,0.1,0.6,0.1,0.3,1.5,0.1,1,"-0.6",-9.3,0,"2012-2013","421-gie"
"17","18","Weiser J. (PG)",22,0,"11:43","1.2",0.3,0.7,"46.7%",0.1,0.5,"20.0%",0.4,1.1,"36.0%",0.3,0.5,"50.0%",0.7,0.1,0.8,0.7,0.1,0.8,0.1,1.3,"1.0",-10.3,0,"2012-2013","421-gie"
