"","jersey_number","name","games","games_started","minutes","points","fgm_2","fga_2","p2_perc","fgm_3","fga_3","p3_perc","fgm","fga","fg_perc","ftm","fta","ft_perc","dr","or","tr","as","st","to","bs","pf","ef","plus_minus","dbl_dbl","season","team"
"1","31","Eidson C. (SF)",7,5,"27:38","16.4",5,8.9,"56.5%",0.4,3.3,"13.0%",5.4,12.1,"44.7%",5.1,6.9,"75.0%",2.7,0.9,3.6,1.4,1.6,2.9,0.4,2.6,"12.1",0,0,"2005-2006","421-gie"
"2","5","Gavel A. ()",30,30,"34:54","16.0",2.9,5.5,"52.4%",1.7,4.3,"38.5%",4.5,9.8,"46.3%",5.2,6.8,"76.6%",2,0.7,2.7,3,1.8,1.7,0.1,2.9,"15.0",0,0,"2005-2006","421-gie"
"3","7","Campbell L. ()",30,29,"33:36","15.1",2.9,6.5,"44.6%",2.1,7,"30.6%",5,13.5,"37.4%",2.9,4.1,"70.2%",2.6,0.9,3.4,3.7,1.7,3.1,0.2,1.8,"11.3",0,0,"2005-2006","421-gie"
"4","20","Elder B. (SF)",26,24,"26:56","12.9",4.4,9,"48.5%",0.9,3.3,"26.4%",5.3,12.4,"42.5%",1.5,2,"71.7%",1.6,0.7,2.3,1.6,0.6,2.5,0.1,2.4,"7.3",0,0,"2005-2006","421-gie"
"5","15","Chubb A. ()",18,16,"24:43","9.6",3.4,5.6,"62.0%",0,0,"0.0%",3.4,5.6,"62.0%",2.7,4.6,"57.8%",3.2,1.5,4.7,0.6,0.3,1.5,0.9,3.1,"10.6",0,0.1,"2005-2006","421-gie"
"6","21","Leather T. ()",1,1,"31:09","9.0",4,6,"66.7%",0,1,"0.0%",4,7,"57.1%",1,2,"50.0%",6,1,7,0,1,2,0,3,"11.0",0,0,"2005-2006","421-gie"
"7","17","Terdenge G. ()",24,21,"24:46","8.6",2.3,4.3,"51.9%",0.8,2.1,"36.0%",3,6.4,"46.8%",1.8,2.5,"73.3%",3.1,2,5.1,0.3,0.3,1.2,0.4,2.6,"9.5",0,0.1,"2005-2006","421-gie"
"8","13","Danelius V. ()",11,1,"18:53","7.1",1.9,2.7,"70.0%",0.6,2.3,"28.0%",2.5,5,"50.9%",1.4,2,"68.2%",3,1.9,4.9,0.2,0.5,1.3,0.3,1.7,"8.6",0,0.1,"2005-2006","421-gie"
"9","6","Wane S. ()",17,10,"20:51","6.5",2.6,4.4,"60.8%",0,0.1,"0.0%",2.6,4.5,"59.2%",1.2,2,"58.8%",4.2,1.2,5.5,0.4,0.2,1,0.8,1.5,"9.7",0,0.1,"2005-2006","421-gie"
"10","10","Anrin C. (SF)",25,4,"18:27","5.7",0.4,0.6,"60.0%",1.4,3.4,"40.7%",1.8,4,"43.6%",0.8,1,"83.3%",1.9,0.5,2.4,0.5,0.2,0.8,0,1.5,"5.6",0,0,"2005-2006","421-gie"
"11","8","Moore N. (SF)",28,2,"17:46","4.8",1.1,2.6,"41.9%",0.5,1.7,"27.7%",1.6,4.3,"36.4%",1.2,1.7,"72.3%",2.4,1.3,3.8,1.2,0.8,1.5,0.4,2.3,"6.3",0,0,"2005-2006","421-gie"
"12","14","Hartenstein F. ()",29,7,"14:33","3.7",1.5,2.7,"55.1%",0,0,"0.0%",1.5,2.7,"55.1%",0.7,1.6,"46.7%",1.6,1.6,3.2,0.2,0.6,0.7,0.1,2.9,"5.1",0,0,"2005-2006","421-gie"
"13","9","Jandl D. ()",25,0,"06:31","1.4",0.2,0.5,"30.8%",0.2,0.9,"27.3%",0.4,1.4,"28.6%",0.4,0.6,"71.4%",0.5,0.2,0.7,0.5,0.2,0.5,0,1.3,"1.3",0,0,"2005-2006","421-gie"
"14","4","Wisniewski A. ()",32,32,"36:48","20.6",4.8,8.6,"56.4%",1.9,4.8,"40.0%",6.8,13.4,"50.5%",5.1,7.2,"71.6%",2.4,0.4,2.8,4.2,1.5,2.7,0,2.4,"17.8",0,0,"2005-2006","415-bon"
"15","10","Conley J. ()",29,23,"30:54","15.1",4.6,7.4,"62.1%",1,3.2,"31.9%",5.6,10.6,"52.9%",2.9,4.2,"68.0%",4.9,2,7,1.8,1.3,2,0.3,2.4,"17.2",0,0.2,"2005-2006","415-bon"
"16","8","Perincic H. ()",34,34,"31:17","12.0",1.9,4.4,"44.6%",2.2,5.1,"43.6%",4.1,9.4,"44.1%",1.5,2.1,"68.5%",5,1,6,0.9,0.7,1,0.1,2.4,"12.7",0,0.1,"2005-2006","415-bon"
"17","12","Meeks M. ()",32,32,"29:00","11.3",2.1,4.1,"51.5%",1.7,4.9,"35.3%",3.8,8.9,"42.7%",2,2.7,"74.1%",2.2,1.7,3.8,1,0.7,2.5,0.5,3.6,"9.1",0,0,"2005-2006","415-bon"
"18","16","Black T. ()",17,15,"27:51","6.5",2.8,5.5,"50.5%",0.1,0.9,"12.5%",2.9,6.4,"45.0%",0.6,2.7,"23.9%",4.6,2.4,7,1.8,1.1,2.4,0.5,2.7,"8.9",0,0.1,"2005-2006","415-bon"
"19","13","Kelecevic S. ()",7,0,"13:45","6.0",1.6,3.4,"45.8%",0.6,1.4,"40.0%",2.1,4.9,"44.1%",1.1,1.4,"80.0%",0.9,1,1.9,0.9,0.3,0.9,0.1,2.1,"5.3",0,0,"2005-2006","415-bon"
"20","9","Paravinja M. ()",30,11,"14:52","5.3",1.9,4.5,"43.3%",0.1,0.2,"33.3%",2,4.7,"42.9%",1.2,1.4,"86.0%",1.3,0.3,1.6,0.7,0.1,0.8,0.1,2.9,"4.2",0,0,"2005-2006","415-bon"
"21","7","Stark J. ()",3,0,"16:16","4.3",0.7,1,"66.7%",0.7,2.3,"28.6%",1.3,3.3,"40.0%",1,2,"50.0%",0.7,0.7,1.3,0.7,1,0.3,1.3,1.7,"5.3",0,0,"2005-2006","415-bon"
"22","6","Tomeljak I. ()",34,8,"14:13","4.3",1.1,2.3,"48.1%",0.3,1.6,"19.6%",1.4,3.9,"36.1%",1.1,1.4,"80.9%",0.8,0.5,1.3,1.2,0.6,1.1,0,1.5,"3.5",0,0,"2005-2006","415-bon"
"23","14","Klepac B. ()",23,8,"16:07","3.7",1.3,2.7,"49.2%",0,0,"0.0%",1.3,2.8,"48.4%",1,1.6,"61.1%",1.2,1.1,2.3,0.3,0.2,1.2,0.1,2.9,"3.4",0,0,"2005-2006","415-bon"
"24","11","Kolodziejski A. ()",33,3,"13:39","3.7",0.6,0.8,"71.4%",0.6,2,"30.8%",1.2,2.8,"43.0%",0.6,0.9,"72.4%",1,0.2,1.2,0.8,0.5,1,0.1,1.8,"3.5",0,0,"2005-2006","415-bon"
"25","15","Mihajlovic M. ()",32,2,"10:30","3.3",0.7,1.3,"52.5%",0.5,1.4,"36.4%",1.2,2.6,"44.0%",0.5,0.8,"68.0%",1.2,0.8,2,0.3,0.3,0.6,0.3,2.4,"3.9",0,0,"2005-2006","415-bon"
"26","5","Janza A. ()",16,2,"09:31","2.8",0.6,1.1,"50.0%",0.3,1.3,"20.0%",0.8,2.4,"34.2%",0.9,1.3,"75.0%",0.8,0.1,0.9,0.6,0.1,0.5,0,1.1,"2.1",0,0,"2005-2006","415-bon"
"27","7","Chebib T. ()",2,0,"01:11","0.0",0,0,"0.0%",0,1,"0.0%",0,1,"0.0%",0,0,"0.0%",0.5,0,0.5,0,0,0,0,0,"-0.5",0,0,"2005-2006","415-bon"
"28","6","Pearson T. ()",29,26,"29:06","13.9",5.3,9.1,"58.7%",0,0,"0.0%",5.3,9.1,"58.5%",3.2,4.8,"66.9%",5.9,3.6,9.4,0.6,1.2,1.5,0.6,2.8,"18.8",0,0.5,"2005-2006","422-bra"
"29","19","Langhi D. ()",15,13,"32:42","13.1",3.4,7.1,"47.7%",1.3,4.7,"27.1%",4.7,11.8,"39.5%",2.5,3.1,"78.7%",4.5,2.6,7.1,1,0.6,1.5,0.2,2.7,"12.6",0,0.3,"2005-2006","422-bra"
"30","7","Hollins V. ()",24,18,"28:39","12.5",3.5,7.2,"48.8%",0.8,3.5,"23.5%",4.3,10.7,"40.5%",3,4.9,"60.7%",1.5,1.8,3.3,2.5,0.9,2.3,0,1.8,"8.6",0,0,"2005-2006","422-bra"
"31","16","Woolridge A. ()",17,15,"26:33","10.5",2.4,5.7,"42.3%",1.1,4.5,"23.7%",3.5,10.2,"34.1%",2.5,3.4,"75.4%",1.5,0.6,2.1,3.5,0.8,2.2,0.1,2.4,"7.3",0,0,"2005-2006","422-bra"
"32","5","Leslie C. ()",29,11,"20:13","9.8",2.1,3.9,"54.0%",1.3,3.3,"41.1%",3.4,7.2,"48.1%",1.5,2.6,"58.7%",1.9,0.6,2.5,1.8,1.6,1.5,0.1,2.6,"9.5",0,0,"2005-2006","422-bra"
"33","4","Lipke J. ()",30,15,"20:44","8.5",2.5,4.3,"57.7%",0.7,2.4,"31.0%",3.2,6.7,"48.3%",1.3,2.3,"57.1%",1.3,0.7,2,1.1,1,1.7,0,2.6,"6.5",0,0,"2005-2006","422-bra"
"34","11","Blom J. ()",30,27,"22:46","6.3",1.5,3,"50.5%",0.9,2.5,"35.1%",2.4,5.5,"43.6%",0.7,1.3,"51.3%",1.7,0.8,2.5,0.7,0.7,1.1,0.1,3.4,"5.6",0,0,"2005-2006","422-bra"
"35","14","Fehse P. ()",21,3,"13:12","5.5",1.9,3.6,"52.6%",0,0.3,"16.7%",2,3.9,"50.0%",1.6,2.3,"68.8%",1.5,1.4,2.9,0.2,0.3,1.2,0.5,2.2,"5.6",0,0,"2005-2006","422-bra"
"36","8","Perkins B. ()",23,9,"22:08","4.8",1.5,3.4,"43.0%",0.4,2.1,"18.4%",1.9,5.6,"33.6%",0.7,1.4,"50.0%",2.1,0.6,2.7,1.6,1.1,1.7,0.6,2,"4.8",0,0,"2005-2006","422-bra"
"37","16","Scott M. (SF)",3,0,"14:08","4.0",1,1.7,"60.0%",0.7,3.7,"18.2%",1.7,5.3,"31.3%",0,0,"0.0%",1.3,0,1.3,0.7,0.7,0.7,0,3,"2.3",0,0,"2005-2006","422-bra"
"38","19","Duany K. ()",8,2,"15:15","3.9",1.1,2.8,"40.9%",0.1,1.9,"6.7%",1.3,4.6,"27.0%",1.3,2.3,"55.6%",2.4,1.4,3.8,0.4,0.5,2,0,2.6,"2.1",0,0,"2005-2006","422-bra"
"39","10","Mädrich D. ()",22,4,"11:15","3.1",1.1,2.5,"45.5%",0.1,0.4,"37.5%",1.3,2.9,"44.4%",0.4,0.7,"56.3%",1.5,0.7,2.2,0.2,0.4,0.9,0.2,2.2,"3.3",0,0,"2005-2006","422-bra"
"40","13","Noopila M. ()",18,7,"15:09","2.9",0.7,1.5,"48.1%",0.3,1.3,"25.0%",1.1,2.8,"37.3%",0.5,0.9,"56.3%",1.7,0.4,2.1,0.5,0.6,1.4,0.1,2.7,"2.6",0,0,"2005-2006","422-bra"
"41","15","Stückemann F. ()",12,0,"12:59","2.2",0.6,0.7,"87.5%",0.1,0.9,"9.1%",0.7,1.6,"42.1%",0.8,1.3,"56.3%",0.8,0.3,1.1,0.8,0.2,1.2,0,2,"1.6",0,0,"2005-2006","422-bra"
"42","12","Schmidt J. ()",7,0,"02:23","0.4",0,0,"0.0%",0.1,0.6,"25.0%",0.1,0.6,"25.0%",0,0,"0.0%",0,0,0,0.1,0.1,0,0,0.4,"0.3",0,0,"2005-2006","422-bra"
"43","17","Niebuhr L. ()",2,0,"01:13","0.0",0,0,"0.0%",0,0,"0.0%",0,0,"0.0%",0,0,"0.0%",1,0,1,0,0,0,0,1,"1.0",0,0,"2005-2006","422-bra"
"44","9","Firic G. ()",2,0,"07:11","0.0",0,0,"0.0%",0,0.5,"0.0%",0,0.5,"0.0%",0,1,"0.0%",0,0,0,1,0,0,0,0.5,"-0.5",0,0,"2005-2006","422-bra"
"45","4","Franklin K. ()",30,19,"28:39","12.8",2.8,5.2,"54.2%",1.7,4.4,"39.4%",4.5,9.6,"47.4%",2,2.5,"78.7%",2.7,0.9,3.7,1.8,0.8,2,0,2.4,"11.5",0,0,"2005-2006","426-fra"
"46","34","Meeking A. ()",9,8,"23:57","12.6",4.9,8.8,"55.7%",0,0.4,"0.0%",4.9,9.2,"53.0%",2.8,5.9,"47.2%",3.4,1.4,4.9,0.3,0.2,2.6,0.1,4,"8.1",0,0,"2005-2006","426-fra"
"47","12","McLinton D. ()",15,3,"20:26","10.5",1.7,3.4,"49.0%",2,5.3,"37.5%",3.7,8.7,"42.0%",1.1,1.5,"77.3%",0.5,0.3,0.9,1.7,0.7,1.9,0,1.3,"6.5",0,0,"2005-2006","426-fra"
"48","21","Garris S. (SF)",13,9,"24:46","10.4",2,4.1,"49.1%",1.6,5.4,"30.0%",3.6,9.5,"38.2%",1.5,2.2,"71.4%",1.4,0.9,2.3,1.3,1.1,1.7,0.1,3.2,"7.0",0,0,"2005-2006","426-fra"
"49","13","Milisa M. ()",30,24,"27:35","10.4",2.8,5.2,"53.5%",1,2.3,"42.0%",3.7,7.5,"50.0%",1.9,2.5,"77.3%",3.8,1.7,5.5,1.5,0.9,2.3,0.1,3.9,"11.7",0,0,"2005-2006","426-fra"
"50","11","Roller P. ()",20,20,"29:41","9.6",1.9,3.9,"48.7%",0.9,4.1,"22.2%",2.8,8,"35.2%",3.1,3.2,"96.8%",1.7,0.5,2.2,3.6,1.1,1.7,0.1,1.5,"9.5",0,0,"2005-2006","426-fra"
"51",NA,"Sljivancanin M. ()",12,2,"19:30","8.1",0.8,1.5,"55.6%",1.8,5.2,"33.9%",2.6,6.7,"38.8%",1.2,1.8,"66.7%",1,0.2,1.2,1.3,0.3,1.4,0,2,"4.8",0,0,"2005-2006","426-fra"
"52","24","Ferguson D. (SF)",6,2,"22:06","7.7",1,2.2,"46.2%",1.8,4.8,"37.9%",2.8,7,"40.5%",0.2,0.3,"50.0%",1.7,0.8,2.5,1.2,0.2,0.7,0,0.7,"6.5",0,0,"2005-2006","426-fra"
"53","15","Badiane M. ()",28,18,"23:01","7.2",2.8,5.1,"54.2%",0,0,"0.0%",2.8,5.1,"53.8%",1.7,2.6,"65.3%",4.9,1.6,6.4,0.6,0.5,2,0.7,2.8,"10.3",0,0.1,"2005-2006","426-fra"
"54","23","Andrade C. (SF)",22,19,"23:16","7.0",1,2.5,"40.7%",1.4,4,"35.6%",2.4,6.4,"37.6%",0.8,1.4,"60.0%",2.2,1.2,3.4,1.4,1,1.8,0.1,2.5,"6.6",0,0,"2005-2006","426-fra"
"55","7","Kruel B. ()",22,8,"17:49","6.2",2.3,3.7,"61.7%",0,0.2,"20.0%",2.3,3.9,"59.3%",1.5,2.4,"64.2%",2.6,1.3,4,1.2,0.7,1.8,0.2,2.8,"8.0",0,0,"2005-2006","426-fra"
"56","5","Bahiense de Mello D. ()",10,3,"14:06","5.4",0.7,1.5,"46.7%",1.1,3,"36.7%",1.8,4.5,"40.0%",0.7,1.1,"63.6%",0.7,0.1,0.8,0.6,0.4,1.1,0,2.7,"3.0",0,0,"2005-2006","426-fra"
"57","22","Mbemba R. ()",16,4,"11:60","4.1",0.9,2.1,"44.1%",0.5,1.4,"36.4%",1.4,3.5,"41.1%",0.7,1,"68.8%",1.1,0.2,1.3,1.6,0.7,1.5,0.1,1.9,"3.8",0,0,"2005-2006","426-fra"
"58","14","King A. (SF)",28,10,"15:04","3.6",1,2,"51.8%",0.2,0.8,"28.6%",1.3,2.8,"45.5%",0.9,1.6,"53.3%",1.3,0.8,2,0.5,0.3,0.6,0.1,1.4,"3.6",0,0,"2005-2006","426-fra"
"59","10","Matinen J. ()",15,0,"08:02","2.6",0.4,0.7,"60.0%",0.4,1.3,"30.0%",0.8,2,"40.0%",0.6,0.9,"69.2%",0.9,0.6,1.5,0.1,0.2,0.3,0.1,0.9,"2.7",0,0,"2005-2006","426-fra"
"60","9","Diarra I. ()",19,1,"07:54","1.3",0.3,0.8,"37.5%",0.2,0.4,"42.9%",0.5,1.2,"39.1%",0.2,0.3,"50.0%",0.4,0.3,0.6,0.3,0.3,0.4,0,0.9,"1.2",0,0,"2005-2006","426-fra"
"61","17","Todic M. ()",3,0,"03:22","0.0",0,0,"0.0%",0,0.3,"0.0%",0,0.3,"0.0%",0,0,"0.0%",0.3,0,0.3,0,0,0.3,0,1,"-0.3",0,0,"2005-2006","426-fra"
"62","7","Love J. ()",30,29,"33:28","14.4",3.3,5.9,"55.7%",1.5,3.8,"39.8%",4.8,9.6,"49.5%",3.4,4.5,"75.6%",2.9,1.1,4.1,2.7,1.1,2.3,0.3,2.5,"14.3",0,0,"2005-2006","433-lud"
"63","5","Green J. ()",33,32,"34:12","14.4",3.6,6.3,"56.9%",1,3.2,"32.7%",4.6,9.5,"48.9%",4.1,5.1,"80.2%",2.7,0.5,3.2,3.5,0.8,2.4,0,2.5,"13.6",0,0.1,"2005-2006","433-lud"
"64","8","Goljovic M. (SF)",31,31,"26:57","12.7",2.5,4.1,"62.2%",1.5,3.6,"42.5%",4.1,7.7,"52.9%",2.9,3.5,"85.0%",1.7,0.8,2.5,1.5,0.6,2.3,0.1,2.2,"10.9",0,0,"2005-2006","433-lud"
"65","21","Davis J. ()",3,2,"18:55","10.7",4,5.7,"70.6%",0,0.3,"0.0%",4,6,"66.7%",2.7,4.3,"61.5%",4,3,7,0.3,1,1.7,0,4,"13.7",0,0.3,"2005-2006","433-lud"
"66","10","Jazvin E. ()",33,30,"23:42","10.3",4.4,7.4,"59.0%",0,0,"0.0%",4.4,7.4,"59.0%",1.6,3.3,"48.2%",3.6,2.6,6.2,1.2,0.5,1.9,0.3,3.5,"11.8",0,0.1,"2005-2006","433-lud"
"67","33","Boddicker B. ()",33,31,"23:56","10.0",2,4.5,"45.0%",1.4,3.3,"41.8%",3.4,7.8,"43.6%",1.8,2.1,"85.3%",2.9,1.2,4.1,0.7,0.5,1.6,0.4,3.7,"9.4",0,0.1,"2005-2006","433-lud"
"68","23","Scott G. (SF)",29,2,"17:36","5.5",1,1.9,"54.5%",0.9,2.9,"31.3%",1.9,4.8,"40.6%",0.8,1.1,"68.8%",1.6,0.5,2.1,0.8,1.1,1.4,0.1,2,"4.9",0,0,"2005-2006","433-lud"
"69","21","Wilson W. ()",1,0,"03:41","5.0",2,2,"100.0%",0,0,"0.0%",2,2,"100.0%",1,1,"100.0%",1,0,1,0,0,1,1,0,"6.0",0,0,"2005-2006","433-lud"
"70","9","Jelesijevic N. ()",32,1,"15:57","4.7",1.6,3.2,"49.0%",0,0.5,"6.3%",1.6,3.7,"43.2%",1.4,2.1,"68.7%",2.6,1.2,3.8,0.5,0.2,1.4,0.7,2.5,"5.7",0,0,"2005-2006","433-lud"
"71","12","Mittmann N. ()",30,2,"14:28","3.6",0.6,1.5,"41.3%",0.4,1.1,"35.3%",1,2.7,"38.8%",1.2,1.6,"72.9%",2.1,0.9,2.9,0.4,0.5,0.7,0.3,2.1,"4.9",0,0,"2005-2006","433-lud"
"72","15","Nesovic A. ()",24,1,"11:06","3.5",0.5,1.4,"38.2%",0.6,1.8,"31.8%",1.1,3.3,"34.6%",0.6,0.9,"68.2%",0.6,0.2,0.8,0.6,0.3,1.1,0,2.1,"1.7",0,0,"2005-2006","433-lud"
"73","4","Kalamiza G. ()",18,3,"13:45","3.2",0.6,1.3,"47.8%",0.5,2.4,"20.5%",1.1,3.7,"29.9%",0.4,0.6,"80.0%",0.7,0.1,0.7,1.2,0.4,0.8,0,1.7,"1.9",0,0,"2005-2006","433-lud"
"74","13","Kesselring S. ()",10,0,"02:07","0.5",0.1,0.2,"50.0%",0,0,"0.0%",0.1,0.2,"50.0%",0.3,0.6,"50.0%",0.1,0.1,0.2,0.1,0,0.4,0,0.3,"0.0",0,0,"2005-2006","433-lud"
"75","11","Cavlin R. ()",5,1,"02:03","0.0",0,0.8,"0.0%",0,0,"0.0%",0,0.8,"0.0%",0,0,"0.0%",0,0.2,0.2,0,0,0.4,0,0.6,"-1.0",0,0,"2005-2006","433-lud"
"76","14","McCoy T. ()",30,28,"32:56","16.2",3.6,7.2,"50.0%",1.5,4.2,"36.2%",5.1,11.4,"44.9%",4.4,5.7,"76.7%",2.8,0.9,3.8,3.6,1.6,3.4,0.1,2.4,"14.2",0,0,"2005-2006","430-old"
"77","42","Edwards W. ()",31,31,"30:14","14.4",3.1,6.5,"47.8%",1.7,5.5,"31.4%",4.8,11.9,"40.3%",3.1,4.1,"74.2%",3.8,2,5.8,1.6,1,2,0.4,3.1,"13.0",0,0.1,"2005-2006","430-old"
