"","jersey_number","name","games","games_started","minutes","points","fgm_2","fga_2","p2_perc","fgm_3","fga_3","p3_perc","fgm","fga","fg_perc","ftm","fta","ft_perc","dr","or","tr","as","st","to","bs","pf","ef","plus_minus","dbl_dbl","season","team"
"1","9","McKie B. ()",27,0,"34.63","25.0",6.6,12.5,"52.8%",1.1,3.6,"32.0%",7.7,16.1,"48.2%",8.3,10.4,"79.8%",2.5,0.9,3.3,3,2.5,2.9,0,2.9,"20.5",0,0,"2002-2003","421-gie"
"2","13","Owens C. ()",8,0,"31.50","15.0",6.8,11.6,"58.1%",0,0.1,"0.0%",6.8,11.8,"57.5%",1.5,3.5,"42.9%",4.4,1.4,5.8,0.5,0.6,1.3,0.5,3.3,"14.1",0,0,"2002-2003","421-gie"
"3","4","Mitchell M. ()",28,0,"33.50","14.4",4.9,10,"48.8%",0.7,2.7,"25.0%",5.6,12.8,"43.7%",2.6,4.5,"57.1%",2.7,1.4,4.1,1.6,1.7,2.1,0.1,2.4,"10.7",0,0,"2002-2003","421-gie"
"4","11","Lynch B. ()",20,0,"29.75","12.7",3.1,6,"51.7%",1.2,3.7,"32.9%",4.3,9.7,"44.6%",2.9,3.8,"75.0%",3.4,1.6,4.9,1.8,1.3,2.6,0.3,2.6,"12.0",0,0,"2002-2003","421-gie"
"5","10","Basit J. ()",28,0,"29.25","10.7",4.2,6.9,"60.8%",0,0.1,"0.0%",4.2,7.1,"59.6%",2.3,3.6,"62.8%",6.2,4.1,10.3,0.6,0.7,1.4,1.6,3.4,"18.4",0,0,"2002-2003","421-gie"
"6","12","Dragsic E. ()",36,0,"26.47","10.5",1.7,3.5,"48.0%",1.8,5,"35.8%",3.4,8.4,"40.8%",1.8,2.4,"75.9%",1.6,0.2,1.8,2,0.6,1.8,0,2.5,"7.5",0,0,"2002-2003","421-gie"
"7","10","Vogel D. ()",2,0,"29.00","10.0",3,5,"60.0%",1,1.5,"66.7%",4,6.5,"61.5%",1,1,"100.0%",5,1,6,1.5,0,1,0,3,"14.0",0,0,"2002-2003","421-gie"
"8","9","Harris G. ()",3,0,"33.00","9.7",3,7,"42.9%",0.3,2,"16.7%",3.3,9,"37.0%",2.7,3.7,"72.7%",3,0.7,3.7,5.3,1.3,3.3,0,3.3,"10.0",0,0,"2002-2003","421-gie"
"9","11","Horvat R. ()",5,0,"29.80","9.0",2.4,5.2,"46.2%",1.2,4.6,"26.1%",3.6,9.8,"36.7%",0.6,1.4,"42.9%",3.8,1.2,5,0.4,0.8,1.8,0.2,2.8,"6.6",0,0,"2002-2003","421-gie"
"10","5","Reljic M. ()",36,0,"22.36","7.2",1.5,2.9,"50.0%",1.1,3.6,"31.3%",2.6,6.6,"39.7%",0.8,1.3,"61.7%",1,0.8,1.8,1.3,0.7,1.3,0,2.5,"5.3",0,0,"2002-2003","421-gie"
"11","13","Mehrens C. ()",18,0,"15.44","6.1",2.3,4.1,"56.8%",0.1,0.7,"16.7%",2.4,4.8,"51.2%",1.1,1.3,"83.3%",3.2,1.4,4.6,0.5,0.3,0.9,0.5,2.1,"8.6",0,0,"2002-2003","421-gie"
"12","8","Grey R. ()",32,0,"16.69","4.1",1.3,2.6,"48.8%",0.3,1.4,"21.7%",1.6,4,"39.1%",0.7,1.2,"59.5%",1.5,0.6,2.1,0.6,0.2,1.2,0.1,2,"3.0",0,0,"2002-2003","421-gie"
"13","14","Hartenstein F. ()",29,0,"12.45","4.1",1.7,2.9,"57.6%",0,0,"0.0%",1.7,2.9,"57.7%",0.9,1.5,"56.8%",2,1.3,3.3,0.2,0.4,0.8,0.2,2.6,"5.6",0,0,"2002-2003","421-gie"
