"","jersey_number","name","games","games_started","minutes","points","fgm_2","fga_2","p2_perc","fgm_3","fga_3","p3_perc","fgm","fga","fg_perc","ftm","fta","ft_perc","dr","or","tr","as","st","to","bs","pf","ef","plus_minus","dbl_dbl","season","team"
"1","22","Wells C. (PG)",33,33,"30:02","14.0",3.9,7.4,"53.5%",1.4,3.5,"39.1%",5.3,10.8,"48.9%",2.1,2.6,"79.1%",2.3,0.5,2.8,4.1,1.2,1.7,0.3,1.4,"14.7",-0.1,0,"2016-2017","421-gie"
"2","9","Evans D. (PF)",30,19,"24:07","11.8",3.3,6.2,"52.7%",0.5,1.5,"36.4%",3.8,7.7,"49.6%",3.7,4.6,"80.3%",4.9,2.2,7.1,1.1,0.5,2,0.3,2.6,"14.0",2.4,0.2,"2016-2017","421-gie"
"3","11","Scrubb T. (SF)",18,18,"27:35","11.8",3.1,5.7,"53.9%",1.3,3.6,"36.9%",4.4,9.3,"47.3%",1.7,2,"83.3%",3.6,1.6,5.2,1.7,1.8,1.3,0.3,1.3,"14.2",1.7,0.1,"2016-2017","421-gie"
"4","5","Sears J. (PF)",31,20,"24:06","11.3",4.7,8.5,"54.9%",0.1,0.2,"33.3%",4.7,8.7,"54.4%",1.8,2.7,"64.7%",2.7,2.7,5.4,1.5,0.9,1.7,0.7,2.9,"13.1",0.4,0.1,"2016-2017","421-gie"
"5","12","Bowlin S. (PG)",33,33,"25:59","8.8",1,2.5,"40.7%",1.6,4.4,"36.3%",2.6,6.9,"37.9%",2,2.6,"77.7%",1.7,0.3,2,4.1,1.5,1.8,0,2.2,"9.7",0.8,0,"2016-2017","421-gie"
"6","4","Saibou J. (PG)",33,12,"17:40","7.8",1.5,3.7,"42.1%",1,2.2,"44.4%",2.5,5.8,"43.0%",1.8,2.1,"84.1%",1.7,0.5,2.2,1.7,0.8,1.2,0.1,2,"7.7",0.5,0,"2016-2017","421-gie"
"7","17","Obst A. (PG)",28,2,"16:13","5.1",0.7,1.5,"47.6%",1,3.2,"30.3%",1.7,4.7,"35.9%",0.8,1,"81.5%",1,0,1.1,1,0.1,1.3,0,1.4,"2.9",-3.3,0,"2016-2017","421-gie"
"8","21","Manigat J. (SG)",33,0,"14:15","5.0",0.7,1.8,"37.3%",0.9,1.8,"47.5%",1.5,3.6,"42.5%",1,1.5,"66.7%",1.1,0.3,1.4,1.1,0.4,1.2,0,1.8,"4.0",-2,0,"2016-2017","421-gie"
"9","13","Lischka B. (PF)",32,1,"12:34","3.7",0.8,1.4,"60.0%",0.5,1.2,"40.5%",1.3,2.6,"51.2%",0.6,0.9,"67.9%",1.1,0.6,1.6,0.5,0,0.6,0.1,1.2,"3.8",-2.4,0,"2016-2017","421-gie"
"10","7","Kone B. (PG)",2,0,"11:57","3.5",1,3.5,"28.6%",0,2,"0.0%",1,5.5,"18.2%",1.5,2,"75.0%",0.5,0,0.5,1,0.5,0,0,0.5,"0.5",-9.5,0,"2016-2017","421-gie"
