"","jersey_number","name","games","games_started","minutes","points","fgm_2","fga_2","p2_perc","fgm_3","fga_3","p3_perc","fgm","fga","fg_perc","ftm","fta","ft_perc","dr","or","tr","as","st","to","bs","pf","ef","plus_minus","dbl_dbl","season","team"
"1","33","Roessler R. (SF)",25,19,"28:38","13.6",2.4,5.4,"44.0%",2,5.5,"36.5%",4.4,10.8,"40.2%",2.9,3.8,"75.8%",3.2,0.6,3.7,1.5,1,1.4,0.1,2.2,"11.1",0,0,"2007-2008","421-gie"
"2","5","Umeh M. (PG)",34,32,"30:39","13.1",2.2,4.7,"46.9%",1.9,5.1,"37.0%",4.1,9.8,"41.7%",3.1,3.7,"81.9%",2.3,0.5,2.9,2,0.9,2.2,0.1,2.2,"10.4",0,0,"2007-2008","421-gie"
"3","24","Phillips W. (C)",7,7,"30:06","12.9",2.3,4.1,"55.2%",2,4.4,"45.2%",4.3,8.6,"50.0%",2.3,2.7,"84.2%",4.1,0.7,4.9,1.3,0.1,0.4,0.9,2.1,"14.9",0,0,"2007-2008","421-gie"
"4","23","Rouse C. (PF)",31,16,"22:01","10.6",4.1,7.5,"54.3%",0.1,0.2,"33.3%",4.1,7.7,"53.8%",2.2,4,"55.2%",3.8,2.3,6.1,0.9,0.5,1.7,0.5,3.1,"11.4",0,0,"2007-2008","421-gie"
"5","7","Terdenge G. (PF)",32,26,"26:40","10.4",2.6,4.8,"53.9%",1,2.4,"42.1%",3.6,7.2,"50.0%",2.3,2.8,"79.1%",2.9,1.3,4.3,0.8,0.4,1.3,0.2,3,"10.5",0,0,"2007-2008","421-gie"
"6",NA,"Sparks P. (PG)",14,13,"26:57","10.1",1.5,3.7,"40.4%",1.8,3.9,"45.5%",3.3,7.6,"43.0%",1.7,2.4,"70.6%",2.1,0.2,2.4,4.3,0.9,2.6,0,2.6,"9.9",0,0.1,"2007-2008","421-gie"
"7","32","Nelson E. (C)",14,10,"23:04","9.2",3.1,6.5,"47.3%",0.2,0.6,"33.3%",3.3,7.1,"46.0%",2.4,3.4,"70.8%",3.1,2.1,5.2,0.8,0.4,1.4,0.4,2.2,"9.8",0,0.1,"2007-2008","421-gie"
"8","12","Trotter O. (PG)",22,19,"28:43","8.4",2,4.1,"49.5%",1,3.5,"27.3%",3,7.6,"39.3%",1.4,2,"70.5%",2,0.6,2.6,2.8,1.3,1.8,0.1,2.6,"8.0",0,0,"2007-2008","421-gie"
"9","8","Lewis D. (PG)",14,2,"14:54","6.5",0.4,1.2,"35.3%",1.1,2.7,"39.5%",1.5,3.9,"38.2%",2.4,2.7,"89.5%",1.9,0.1,2,1.6,0.4,1.5,0,1.9,"6.2",0,0,"2007-2008","421-gie"
"10","42","Boxley S. (SF)",26,18,"23:20","5.9",1.8,3.2,"57.3%",0.2,1.3,"11.4%",2,4.5,"43.6%",1.8,2.9,"60.5%",2.2,1.1,3.3,1,0.5,1.3,0.5,2.1,"6.1",0,0,"2007-2008","421-gie"
"11","13","Lischka J. (PF)",27,0,"10:34","3.5",1.2,2.5,"47.1%",0,0.2,"20.0%",1.2,2.7,"45.2%",1,1.7,"60.0%",1.6,0.7,2.3,0.5,0.5,0.8,0.2,0.9,"4.0",0,0,"2007-2008","421-gie"
"12","22","Robinson S. (PG)",29,0,"10:54","3.1",0.7,1.6,"40.4%",0.4,1.1,"35.5%",1,2.7,"38.5%",0.7,1,"67.9%",0.8,0.2,0.9,0.8,0.6,1,0,1.2,"2.4",0,0,"2007-2008","421-gie"
"13","6","Walker T. (PF)",2,0,"16:35","3.0",0.5,2.5,"20.0%",0.5,3,"16.7%",1,5.5,"18.2%",0.5,1,"50.0%",1,0.5,1.5,0,0,0.5,0.5,2,"-0.5",0,0,"2007-2008","421-gie"
"14","10","Buljevic M. (PG)",21,0,"07:10","2.4",0.2,0.6,"41.7%",0.5,1.5,"35.5%",0.8,2,"37.2%",0.3,0.6,"58.3%",0.3,0.1,0.3,0.1,0.1,0.3,0,1.1,"1.2",0,0,"2007-2008","421-gie"
"15","54","Hartenstein F. (C)",34,3,"10:20","1.9",0.7,1.5,"48.1%",0,0,"0.0%",0.7,1.6,"47.2%",0.4,1.4,"28.6%",1.1,0.7,1.7,0.2,0.4,0.5,0.1,2,"1.8",0,0,"2007-2008","421-gie"
"16","20","Poiger R. (PF)",7,0,"05:14","1.4",0.6,0.9,"66.7%",0,0.1,"0.0%",0.6,1,"57.1%",0.3,0.4,"66.7%",0.3,0.1,0.4,0.1,0.1,0.6,0,1,"1.0",0,0,"2007-2008","421-gie"
"17","4","Frazier W. (SF)",42,37,"28:30","12.9",3.3,6.8,"48.6%",1.1,3.4,"32.6%",4.4,10.2,"43.3%",3,3.8,"78.3%",2.3,1.6,4,1.4,1.8,2.2,0.2,2.3,"11.5",0,0,"2007-2008","415-bon"
"18","10","Conley J. (SF)",18,15,"31:19","12.7",3.3,5.8,"56.7%",1.3,4.7,"27.1%",4.6,10.5,"43.4%",2.3,3.3,"68.3%",5,1.6,6.6,2.2,1.1,1.8,0.3,1.7,"14.1",0,0.1,"2007-2008","415-bon"
"19","5","Burrell R. (PF)",45,42,"28:01","12.4",4.6,9.4,"48.9%",0.1,0.5,"25.0%",4.7,9.9,"47.6%",2.8,3.8,"73.3%",2.9,2.2,5,1,0.4,2.2,0.5,3.1,"10.9",0,0.1,"2007-2008","415-bon"
"20","9","Bowler J. (C)",39,36,"25:23","12.1",3.8,6.8,"56.0%",0.3,0.8,"41.9%",4.2,7.6,"54.6%",3.4,4.9,"70.5%",3.3,2.1,5.3,1.1,0.6,1.5,0.3,3.1,"13.0",0,0,"2007-2008","415-bon"
"21","18","Basden E. (SF)",27,26,"27:11","8.6",2.8,5.7,"48.4%",0.6,2.6,"22.9%",3.4,8.3,"40.4%",1.2,2.1,"57.9%",2.9,1.1,3.9,1.9,1.7,1.9,0.1,1.8,"8.4",0,0,"2007-2008","415-bon"
