"","jersey_number","name","games","games_started","minutes","points","fgm_2","fga_2","p2_perc","fgm_3","fga_3","p3_perc","fgm","fga","fg_perc","ftm","fta","ft_perc","dr","or","tr","as","st","to","bs","pf","ef","plus_minus","dbl_dbl","season","team"
"1","15","Peacock Z. (PF)",34,31,"25:43","13.7",5.3,9.4,"56.4%",0,0.1,"25.0%",5.3,9.5,"56.0%",3,4.4,"68.0%",4.1,2.4,6.4,0.7,1,1.9,0.1,3.3,"14.4",-2.7,0.2,"2010-2011","421-gie"
"2","10","Ovcina E. (C)",34,34,"31:51","11.4",4.8,9.6,"50.0%",0.2,1,"17.6%",5,10.6,"46.9%",1.2,1.6,"76.4%",4.8,1.8,6.6,2.4,0.9,2.4,0.6,2.9,"13.4",-6.8,0.1,"2010-2011","421-gie"
"3","5","Smith A. (SG)",28,28,"29:40","11.3",2.8,5.3,"53.0%",1.4,4.1,"32.8%",4.2,9.5,"44.2%",1.6,2.6,"60.3%",2.6,0.7,3.3,1.3,1,1.9,0.2,2.1,"8.8",-6.1,0,"2010-2011","421-gie"
"4","32","Jeffers M. (SF)",13,9,"25:57","10.2",2.3,4.8,"47.6%",1.3,2.9,"44.7%",3.6,7.8,"46.5%",1.6,2,"80.8%",3.8,0.5,4.2,1.2,1,1.6,0.1,2.9,"10.5",-3.3,0,"2010-2011","421-gie"
"5","12","Brooks R. (SF)",34,18,"26:55","9.2",2.4,4.9,"48.5%",0.8,2.7,"28.0%",3.1,7.6,"41.2%",2.1,2.8,"75.5%",2.4,0.5,2.9,1.4,0.8,1.7,0.2,1.7,"7.6",-6.2,0,"2010-2011","421-gie"
"6","14","Griffin C. (SG)",22,10,"24:37","8.6",1.4,3,"46.2%",1.5,3.6,"42.5%",2.9,6.6,"44.1%",1.2,1.4,"86.7%",1,0.2,1.2,1.8,0.8,1.2,0,2.5,"7.3",-3.6,0,"2010-2011","421-gie"
"7","23","Jordan M. (PG)",14,14,"28:51","7.1",1.4,3.4,"40.4%",1.1,2.5,"42.9%",2.4,5.9,"41.5%",1.1,1.6,"72.7%",1.5,0.5,2,3.7,0.9,2.4,0,3.1,"7.4",-5.4,0,"2010-2011","421-gie"
"8","24","Jacobson N. (SG)",1,0,"23:19","6.0",1,4,"25.0%",1,4,"25.0%",2,8,"25.0%",1,1,"100.0%",0,0,0,1,2,0,0,3,"3.0",-20,0,"2010-2011","421-gie"
"9","4","Gamqrelidze G. (PG)",25,17,"22:27","5.2",1.2,3.4,"36.0%",0.5,1.7,"28.6%",1.7,5.1,"33.6%",1.3,1.8,"71.7%",1.5,0.4,1.9,3.7,0.5,1.9,0,2.4,"5.5",-5,0,"2010-2011","421-gie"
"10","6","Freese J. (C)",31,3,"14:33","4.1",1.5,3.2,"46.0%",0,0.1,"0.0%",1.5,3.3,"45.1%",1.2,1.9,"61.0%",1.8,0.9,2.7,0.4,0.2,0.9,0.2,1.7,"4.2",-4.5,0,"2010-2011","421-gie"
