"","jersey_number","name","games","games_started","minutes","points","fgm_2","fga_2","p2_perc","fgm_3","fga_3","p3_perc","fgm","fga","fg_perc","ftm","fta","ft_perc","dr","or","tr","as","st","to","bs","pf","ef","plus_minus","dbl_dbl","season","team"
"1","54","Bryant J. (C)",30,30,"29:53","19.5",6.5,10.6,"61.6%",0.9,2.7,"34.1%",7.5,13.3,"56.0%",3.6,5.2,"69.7%",8.2,2,10.2,4.9,0.6,2.9,0.9,2.5,"25.7",-1.8,0.6,"2018-2019","421-gie"
"2","33","Thomas B. (SF)",33,33,"33:05","14.8",2.6,4,"65.9%",2.6,5.3,"49.1%",5.2,9.3,"56.4%",1.7,2.2,"80.3%",2,0.6,2.6,2.4,0.7,1.7,0.2,1.4,"14.6",-3.5,0,"2018-2019","421-gie"
"3","10","Landis M. (PG)",28,6,"22:08","11.8",1.6,3.6,"45.5%",1.9,4.3,"43.7%",3.5,7.9,"44.6%",3,3.3,"89.3%",0.9,0.2,1.1,2.3,0.4,1.3,0,2.4,"9.7",-0.8,0,"2018-2019","421-gie"
"4","50","Bell D. (PG)",25,10,"22:57","11.8",1.4,2.6,"52.3%",2.5,5.6,"44.3%",3.8,8.2,"46.8%",1.6,1.9,"85.4%",1.8,0.2,2,1.7,0.4,1.3,0,2.5,"10.0",-2.6,0,"2018-2019","421-gie"
"5","23","Gordon L. (SF)",34,25,"28:23","11.0",2.9,5.1,"57.2%",1.2,2.9,"41.2%",4.1,7.9,"51.5%",1.7,2.1,"81.4%",4.1,1.7,5.8,1.9,0.7,1.4,0.2,2.1,"14.0",-2.8,0.1,"2018-2019","421-gie"
"6","13","Lischka B. (PF)",27,23,"21:05","8.8",2.3,4.3,"53.0%",0.6,1.5,"37.5%",2.9,5.8,"49.0%",2.6,3.2,"79.3%",2.9,0.8,3.6,1.6,0.4,1.8,0.2,2.8,"9.2",-3,0,"2018-2019","421-gie"
"7","6","Agva M. (C)",34,6,"15:05","8.2",2.1,3.9,"54.1%",0.5,1.1,"47.2%",2.6,5,"52.7%",2.5,3.2,"77.8%",2.5,1.1,3.6,0.9,0.2,0.9,0.2,1.9,"9.0",-0.5,0,"2018-2019","421-gie"
"8","25","Jordan J. (PG)",19,15,"26:21","7.0",1.1,2.2,"50.0%",1.3,3.1,"42.4%",2.4,5.3,"45.5%",0.8,1.1,"76.2%",2.4,0.7,3.1,7.8,1.1,1.6,0.1,2.8,"14.4",-1.3,0.2,"2018-2019","421-gie"
"9","9","Montana M. (SF)",13,0,"09:19","5.5",1.4,1.9,"72.0%",0.8,2.2,"35.7%",2.2,4.1,"52.8%",0.5,0.7,"66.7%",1.1,0.3,1.4,0.6,0.1,0.4,0.2,1.5,"5.2",-2.1,0,"2018-2019","421-gie"
"10","8","Pjanic A. (SF)",15,5,"13:07","5.1",1.1,1.7,"61.5%",0.7,1.7,"42.3%",1.8,3.5,"51.9%",0.7,1.1,"64.7%",1.7,0.5,2.1,0.3,0.5,0.5,0.7,2.3,"6.0",0.2,0,"2018-2019","421-gie"
"11","3","Chambers S. (PG)",29,11,"14:24","3.7",0.8,1.9,"40.7%",0.4,1.6,"23.4%",1.1,3.5,"32.7%",1,1.7,"62.5%",0.8,0.2,1,2.8,0.4,0.7,0,1.5,"4.3",-2.8,0,"2018-2019","421-gie"
"12","5","Taylor J. (SG)",9,2,"12:14","3.4",0.6,1.3,"41.7%",0.4,1.9,"23.5%",1,3.2,"31.0%",1,1.2,"81.8%",1.4,0.1,1.6,0.8,0.3,0.6,0,2.1,"3.1",-2.7,0,"2018-2019","421-gie"
"13","4","Kraushaar B. (PG)",18,4,"12:10","2.8",0.6,1.5,"40.7%",0.3,0.8,"40.0%",0.9,2.3,"40.5%",0.6,0.6,"90.9%",0.7,0.2,0.8,1.9,0.3,1,0,1.7,"3.4",-1.1,0,"2018-2019","421-gie"
"14","12","Okpara L. (SG)",3,0,"04:34","0.7",0,0,"0.0%",0,0,"0.0%",0,0,"0.0%",0.7,0.7,"100.0%",0.3,0.3,0.7,0,0,0,0,1,"1.3",-0.7,0,"2018-2019","421-gie"
"15","11","Uhlemann T. (PF)",5,0,"03:31","0.6",0.2,0.6,"33.3%",0,0.6,"0.0%",0.2,1.2,"16.7%",0.2,0.4,"50.0%",0.2,0,0.2,0.6,0,0.2,0,0.4,"0.0",-3,0,"2018-2019","421-gie"
"16","8","James R. (SG)",15,10,"27:34","14.9",3.1,6.8,"46.1%",2.2,5.7,"38.4%",5.3,12.5,"42.6%",2.1,2.8,"73.8%",2.6,0.8,3.4,2.3,0.5,2.3,0.1,1.7,"11.0",-2.1,0,"2018-2019","415-bon"
"17","14","Mayo J. (PG)",35,35,"27:30","14.5",0.9,2.4,"39.3%",3.2,6.4,"49.3%",4.1,8.8,"46.6%",3.1,3.5,"87.0%",1.8,0.4,2.2,3.4,0.5,1.5,0,2.1,"13.9",3.1,0,"2018-2019","415-bon"
"18","10","Jackson C. (C)",25,21,"21:21","14.0",5.7,8.3,"68.6%",0,0,"0.0%",5.7,8.3,"68.3%",2.6,4.7,"55.9%",3.6,2.8,6.4,1.2,1,2,0.4,3.1,"16.3",1.4,0.1,"2018-2019","415-bon"
"19","12","Breunig M. (PF)",34,16,"20:38","10.3",3.6,6.4,"55.5%",0,0,"0.0%",3.6,6.4,"55.3%",3.2,4.3,"74.2%",2.7,1.3,3.9,1.1,0.5,0.9,0.5,2.1,"11.4",-0.8,0.1,"2018-2019","415-bon"
"20","13","Polas Bartolo Y. (SF)",37,37,"24:35","9.1",2.5,4.8,"52.3%",0.6,2.3,"28.6%",3.1,7,"44.6%",2.2,3.2,"67.2%",2.8,1.7,4.4,2.2,0.7,1.7,0.1,2.4,"9.8",1.7,0,"2018-2019","415-bon"
"21","7","Subotic B. (PF)",32,13,"20:51","8.7",2.1,3.7,"55.5%",0.8,3.1,"26.0%",2.9,6.8,"42.0%",2.1,2.6,"81.0%",2.6,1.3,3.9,1.3,0.6,1,0.3,2.6,"9.3",-1.8,0,"2018-2019","415-bon"
"22","6","Hanlan O. (SG)",27,0,"17:34","8.4",1.5,3.3,"46.1%",1.1,3.2,"36.0%",2.7,6.5,"41.1%",1.9,2.3,"85.3%",1.5,0.2,1.7,1.3,0.3,0.9,0,2,"6.7",-6.9,0,"2018-2019","415-bon"
"23","11","DiLeo A. (SG)",37,19,"23:47","8.3",2.3,4.3,"52.8%",0.9,2.8,"34.3%",3.2,7.1,"45.6%",0.9,1.2,"75.6%",1.6,0.3,1.9,4.6,1.1,1.5,0.2,1.7,"10.4",0.7,0,"2018-2019","415-bon"
