"","jersey_number","name","games","games_started","minutes","points","fgm_2","fga_2","p2_perc","fgm_3","fga_3","p3_perc","fgm","fga","fg_perc","ftm","fta","ft_perc","dr","or","tr","as","st","to","bs","pf","ef","plus_minus","dbl_dbl","season","team"
"1","20","Jeffers M. (SF)",12,11,"28:44","14.4",3.8,6.2,"60.8%",0.4,2.3,"17.9%",4.2,8.5,"49.0%",5.7,6.6,"86.1%",3.5,0.7,4.2,2.3,0.6,1.9,0,2.1,"14.3",-2.2,0,"2011-2012","421-gie"
"2","4","Stewart B. (SG)",34,29,"31:12","13.3",2.3,5.3,"43.9%",2,5,"40.6%",4.4,10.3,"42.3%",2.6,3.2,"80.7%",3,0.6,3.6,1.5,1.2,1.2,0.1,2.7,"11.9",-6.7,0,"2011-2012","421-gie"
"3","5","Ovcina E. (C)",33,32,"27:32","11.4",4.5,9.2,"49.3%",0.4,1.2,"31.7%",4.9,10.4,"47.2%",1.2,1.5,"80.0%",4.7,1.8,6.5,2.2,0.5,2.3,0.4,2.6,"12.9",-6.7,0.2,"2011-2012","421-gie"
"4","34","Bernard W. (SG)",34,29,"26:44","9.5",1.5,3.1,"48.6%",1.4,4.1,"35.0%",2.9,7.2,"40.8%",2.2,2.6,"85.2%",1.9,0.7,2.7,1.9,1.4,1.5,0.1,2.8,"9.4",-5.5,0,"2011-2012","421-gie"
"5","21","Archibong K. (PF)",34,27,"23:55","8.7",3.2,5.9,"55.0%",0.2,0.9,"27.6%",3.5,6.7,"51.5%",1.5,2.2,"70.3%",2.9,1.7,4.6,0.8,0.6,1.9,0,2.8,"8.9",-6,0.1,"2011-2012","421-gie"
"6","15","Pilcevic R. (PG)",29,26,"25:34","6.7",0.9,2.3,"37.3%",1.1,3.4,"32.3%",2,5.7,"34.3%",1.6,1.9,"85.5%",1.3,0.2,1.5,3.3,0.7,2.1,0,3.1,"5.9",-6.1,0,"2011-2012","421-gie"
"7","9","Prewitt C. (PF)",27,8,"20:14","6.2",0.7,1.9,"38.0%",1.3,3.3,"39.8%",2,5.1,"39.1%",0.9,1.1,"76.7%",1.6,0.7,2.4,0.8,0.6,0.6,0,3.2,"6.0",-2.7,0,"2011-2012","421-gie"
"8","13","Oehle R. (C)",34,1,"11:40","4.1",1.4,3.1,"46.2%",0,0,"0.0%",1.4,3.1,"45.8%",1.2,1.8,"64.5%",1.7,0.7,2.3,0.2,0.1,0.9,0.4,2,"3.8",-1.8,0,"2011-2012","421-gie"
"9","31","McCullough T. (SF)",6,2,"12:34","4.0",1,3.7,"27.3%",0.2,0.7,"25.0%",1.2,4.3,"26.9%",1.5,2.3,"64.3%",1.2,1,2.2,1,1,2.5,0.3,2.3,"2.0",-1.2,0,"2011-2012","421-gie"
"10","19","Nolen A. (PG)",8,0,"13:35","3.4",0.6,1.9,"33.3%",0.4,1.8,"21.4%",1,3.6,"27.6%",1,1.9,"53.3%",1.3,0.8,2,1.5,1,1.5,0,2,"2.9",-5.9,0,"2011-2012","421-gie"
"11","10","Djurasovic B. (SF)",8,1,"14:40","3.3",0.5,2.1,"23.5%",0.6,1.8,"35.7%",1.1,3.9,"29.0%",0.4,0.6,"60.0%",1.5,0.3,1.8,0.1,0.5,1.6,0.1,2.1,"1.1",-5.1,0,"2011-2012","421-gie"
"12","8","Zazai A. (PG)",27,3,"15:08","3.1",0.9,2,"43.4%",0.1,0.7,"11.1%",0.9,2.6,"35.2%",1.1,1.4,"79.5%",0.9,0.3,1.2,2,0.9,1.3,0,2.3,"3.9",-3.2,0,"2011-2012","421-gie"
"13","22","Haldin M. (PG)",23,1,"08:48","1.7",0.3,1,"29.2%",0.2,0.9,"25.0%",0.5,1.9,"27.3%",0.4,0.5,"75.0%",1,0.1,1.1,0.4,0.1,0.9,0,0.7,"0.9",-4.5,0,"2011-2012","421-gie"
"14","7","Perl M. (PG)",29,0,"07:14","0.8",0.2,0.6,"37.5%",0.1,0.3,"22.2%",0.3,0.9,"32.0%",0.2,0.3,"50.0%",0.3,0.2,0.5,0.3,0.3,0.3,0,1.7,"0.8",-2.2,0,"2011-2012","421-gie"
"15","11","Turudic D. (C)",3,0,"01:05","0.0",0,0.3,"0.0%",0,0,"0.0%",0,0.3,"0.0%",0,0,"0.0%",0.3,0,0.3,0.3,0,0,0,0.3,"0.3",-0.3,0,"2011-2012","421-gie"
"16","18","Weiser J. (PG)",1,0,"03:45","0.0",0,0,"0.0%",0,0,"0.0%",0,0,"0.0%",0,0,"0.0%",0,0,0,0,0,0,0,0,"0.0",9,0,"2011-2012","421-gie"
"17","5","Ensminger C. (C)",38,36,"28:12","14.6",5.4,9.4,"57.1%",0,0,"0.0%",5.4,9.4,"57.1%",3.8,5,"75.9%",4.7,2.5,7.2,1.4,0.4,1.7,0.2,3,"16.9",4.3,0.2,"2011-2012","415-bon"
"18","6","Veikalas B. (SG)",36,32,"27:33","13.7",2.9,4.9,"59.7%",1.8,4.5,"40.5%",4.8,9.4,"50.4%",2.4,2.7,"88.5%",2.7,0.7,3.4,1.8,0.6,1.4,0.1,2.3,"13.2",1.6,0,"2011-2012","415-bon"
"19","13","Gaffney T. (PF)",38,36,"31:30","12.7",3.9,6.3,"61.3%",1.1,3.5,"31.1%",4.9,9.8,"50.5%",1.8,2.6,"69.1%",4.8,1.5,6.3,1.5,1.3,1,1.7,2,"16.9",3.8,0.1,"2011-2012","415-bon"
"20","14","Battle T. (PG)",27,5,"23:16","11.6",2.7,4.9,"55.0%",1.4,3.9,"36.5%",4.1,8.7,"46.8%",2,2.6,"77.1%",1.3,0.7,2,1.9,0.5,1.4,0,1.4,"9.4",1.6,0,"2011-2012","415-bon"
"21","10","Jordan J. (PG)",37,37,"32:30","10.9",2.7,5.4,"49.8%",1.1,2.8,"38.8%",3.8,8.2,"46.1%",2.2,2.7,"81.2%",2.7,1,3.7,8.1,1.1,2.6,0.1,2.3,"16.3",4.9,0.1,"2011-2012","415-bon"
"22","4","Serapinas S. (SF)",38,37,"26:59","9.9",1.7,3.2,"52.9%",1.8,5.2,"34.8%",3.5,8.4,"41.7%",1.1,1.5,"75.0%",2.1,1,3,1,0.6,1.2,0.2,2.9,"8.2",2.7,0,"2011-2012","415-bon"
