"","jersey_number","name","games","games_started","minutes","points","fgm_2","fga_2","p2_perc","fgm_3","fga_3","p3_perc","fgm","fga","fg_perc","ftm","fta","ft_perc","dr","or","tr","as","st","to","bs","pf","ef","plus_minus","dbl_dbl","season","team"
"1","5","Umeh M. (SG)",33,33,"32:29","13.8",2.6,5.1,"50.9%",2.1,4.8,"42.8%",4.6,9.9,"46.9%",2.5,3,"81.8%",2.9,0.4,3.2,1.8,1,2.3,0.2,2.1,"11.8",-5.7,0,"2008-2009","421-gie"
"2","4","Jeffers M. (SF)",22,22,"31:44","12.1",2.9,6.6,"43.8%",1.3,3.4,"37.8%",4.2,10,"41.8%",2.5,3.5,"71.4%",3.7,0.9,4.6,1.5,0.8,1.8,0,2.8,"10.4",-3.3,0,"2008-2009","421-gie"
"3","30","Schaffartzik H. (PG)",32,32,"33:37","11.4",1.4,3.1,"45.5%",2.2,5.4,"39.7%",3.6,8.5,"41.8%",2.1,2.6,"81.0%",1.8,0.5,2.2,2.9,0.9,2.2,0,2.4,"9.8",-6,0,"2008-2009","421-gie"
"4","23","Rouse C. (PF)",29,19,"21:49","8.4",3,6.3,"47.8%",0,0.2,"14.3%",3.1,6.6,"46.6%",2.2,4.4,"50.4%",4,2,6.1,0.3,0.3,2.4,0.1,3.2,"7.2",-2.8,0.2,"2008-2009","421-gie"
"5","13","Lischka J. (SF)",33,5,"19:27","8.3",2.6,5,"51.8%",0.3,0.8,"38.5%",2.9,5.8,"50.0%",2.2,3.2,"67.9%",2.8,1.2,4,0.7,0.6,1.3,0.1,1.8,"8.3",-2.9,0.1,"2008-2009","421-gie"
"6","12","Hickman R. (PG)",24,1,"19:57","6.9",1.2,2.9,"41.4%",0.6,2,"28.6%",1.8,5,"36.1%",2.7,4.1,"65.7%",1.4,0.3,1.7,1.3,1.3,2.2,0.3,2.3,"4.6",-4.9,0,"2008-2009","421-gie"
"7","6","Worthy B. (PG)",12,8,"24:04","6.8",1.8,4.1,"44.9%",0.6,1.9,"30.4%",2.4,6,"40.3%",1.4,2,"70.8%",1.7,0.4,2.1,1.6,1.8,1,0.1,3.2,"7.2",-8.4,0,"2008-2009","421-gie"
"8","7","Terdenge G. (PF)",25,13,"21:07","6.2",1.9,4,"46.5%",0.4,2,"18.4%",2.2,6,"37.3%",1.4,1.9,"70.8%",2.2,0.9,3.2,0.4,0.3,1.6,0.1,2.7,"4.2",-6.3,0,"2008-2009","421-gie"
"9","15","Maras R. (C)",32,15,"17:01","6.1",2.4,3.9,"60.8%",0,0.2,"20.0%",2.4,4.1,"59.2%",1.2,1.6,"76.5%",2.3,1.4,3.7,0.7,0.2,1.3,0.1,2.8,"7.3",-0.8,0,"2008-2009","421-gie"
"10","54","Hartenstein F. (C)",30,13,"15:18","4.2",1.7,2.9,"58.1%",0,0,"0.0%",1.7,2.9,"58.1%",0.9,1.7,"51.9%",1.8,0.9,2.7,0.3,0.3,1.2,0.1,3.3,"4.4",-4.6,0,"2008-2009","421-gie"
