"","jersey_number","name","games","games_started","minutes","points","fgm_2","fga_2","p2_perc","fgm_3","fga_3","p3_perc","fgm","fga","fg_perc","ftm","fta","ft_perc","dr","or","tr","as","st","to","bs","pf","ef","plus_minus","dbl_dbl","season","team"
"1","8","Jordan A. ()",32,0,"36.31","18.3",3.7,8.1,"46.1%",2.7,6.4,"42.2%",6.4,14.4,"44.4%",2.8,3.3,"85.1%",1.9,0.5,2.4,3.9,1.3,2,0.1,1.9,"15.4",0,0,"2000-2001","421-gie"
"2","4","Mitchell M. ()",32,0,"35.84","17.0",5.1,9.7,"52.9%",1.1,3.3,"34.3%",6.3,13,"48.2%",3.4,4.5,"75.0%",3.2,1.8,5,1.7,1.9,2.2,0.3,2.9,"15.9",0,0,"2000-2001","421-gie"
"3","5","Bassette R. ()",20,0,"32.35","16.0",7,13.5,"51.7%",0.2,0.3,"50.0%",7.1,13.8,"51.6%",1.7,3,"55.9%",7.3,2.5,9.8,1,2,2,2.1,3.3,"20.9",0,0,"2000-2001","421-gie"
"4","6","Keane M. ()",13,0,"33.54","14.8",5.9,10.5,"56.2%",0,0.2,"0.0%",5.9,10.8,"55.0%",2.9,4.8,"60.3%",5.4,3.9,9.2,0.7,2.2,1.8,0.5,3.4,"18.9",0,0,"2000-2001","421-gie"
"5","7","Stafford R. ()",33,0,"29.52","13.6",2.6,5.9,"44.3%",1.7,4,"42.4%",4.3,9.9,"43.6%",3.3,4.4,"75.7%",3.3,1,4.2,3,1.8,2,0.1,2.9,"13.9",0,0,"2000-2001","421-gie"
"6","9","King P. (SF)",13,0,"27.46","8.2",2.2,3.3,"67.4%",0.6,1.3,"47.1%",2.8,4.6,"61.7%",1.8,2.1,"88.9%",3.2,2.1,5.2,1.9,1.2,1.5,0.2,2.7,"13.1",0,0,"2000-2001","421-gie"
"7","13","Musch D. ()",11,0,"26.18","6.5",2.2,5,"43.6%",0,0.1,"0.0%",2.2,5.1,"42.9%",2.1,3.1,"67.7%",3.4,1.2,4.6,1,0.7,1.1,0.8,3.5,"8.6",0,0,"2000-2001","421-gie"
"8","11","Hallgrimson M. ()",29,0,"15.72","5.3",0.4,0.9,"44.0%",1.4,4.2,"33.9%",1.8,5,"35.6%",0.3,0.3,"100.0%",0.8,0.5,1.3,0.8,0.4,0.3,0,0.9,"4.2",0,0,"2000-2001","421-gie"
"9","14","Henry D. ()",19,0,"18.47","4.1",1.4,3.7,"38.6%",0,0.3,"0.0%",1.4,3.9,"36.0%",1.3,2.3,"54.6%",2.3,2.5,4.8,1.1,1.2,1.3,0.1,1.8,"6.4",0,0,"2000-2001","421-gie"
"10","12","Zdravkovic R. ()",30,0,"13.33","3.4",0.9,2,"44.1%",0.1,0.8,"16.7%",1,2.8,"36.1%",1.3,1.8,"69.1%",0.9,0,1,1.3,0.4,1.2,0,1.7,"2.6",0,0,"2000-2001","421-gie"
