"","jersey_number","name","games","games_started","minutes","points","fgm_2","fga_2","p2_perc","fgm_3","fga_3","p3_perc","fgm","fga","fg_perc","ftm","fta","ft_perc","dr","or","tr","as","st","to","bs","pf","ef","plus_minus","dbl_dbl","season","team"
"1","11","Klimavicius T. (C)","37","6","24:54","12.9","4.9","7.6","64.2%","0.1","0.5","22.2%","5.0","8.1","61.7%","2.8","3.8","74.1%","3.5","2.4","6.0","1.4","0.4","1.7","1.0","2.7","15.9","3.0","0.1","2014-2015","415-bon"
"2","9","Caloiaro A. (PF)","39","38","26:36","12.0","2.8","4.8","58.1%","1.1","2.9","37.2%","3.8","7.7","50.2%","3.3","4.3","75.2%","3.2","1.1","4.3","1.5","1.3","1.3","0.1","2.1","13.0","2.1","0.0","2014-2015","415-bon"
"3","6","Veikalas B. (SG)","38","37","24:03","10.9","2.2","3.7","60.7%","1.7","4.1","41.6%","3.9","7.7","50.7%","1.4","1.6","83.9%","2.2","0.5","2.7","1.2","0.5","1.4","0.1","2.2","10.1","3.0","0.0","2014-2015","415-bon"
"4","7","Brooks R. (SG)","39","5","24:30","10.7","2.3","5.1","44.7%","1.2","3.0","40.2%","3.5","8.1","43.0%","2.5","3.3","76.6%","3.2","0.3","3.5","1.9","0.8","1.3","0.2","2.0","10.4","1.5","0.0","2014-2015","415-bon"
"5","4","McConnell M. (PG)","39","0","21:07","8.6","2.1","4.0","51.3%","0.8","2.1","37.5%","2.8","6.1","46.6%","2.2","2.7","82.7%","1.4","0.6","2.1","3.9","0.7","2.0","0.1","2.0","9.5","2.8","0.0","2014-2015","415-bon"
"6","10","Lawrence E. (PG)","39","39","24:58","8.3","1.4","2.9","46.9%","1.3","3.7","34.3%","2.6","6.6","39.8%","1.8","2.5","71.4%","2.0","0.4","2.4","5.5","0.9","2.4","0.1","2.3","10.1","1.1","0.0","2014-2015","415-bon"
"7","5","Mädrich D. (C)","39","34","14:55","8.2","2.5","4.0","61.1%","0.3","1.4","24.5%","2.8","5.4","51.9%","2.2","3.0","73.7%","2.5","1.3","3.8","0.5","0.3","0.7","0.2","3.0","8.9","-1.2","0.0","2014-2015","415-bon"
"8","19","Vroblicky A. (C)","2","0","15:17","7.0","3.0","5.0","60.0%","0.0","0.0","0.0%","3.0","5.0","60.0%","1.0","1.5","66.7%","2.5","2.0","4.5","0.0","0.0","0.5","0.0","4.0","8.5","5.0","0.0","2014-2015","415-bon"
"9","14","Wachalski S. (PF)","39","0","15:14","6.3","1.2","2.0","58.4%","1.0","2.4","40.9%","2.1","4.4","48.8%","1.1","1.5","70.7%","1.6","0.8","2.4","0.5","0.4","0.6","0.1","1.9","6.5","1.4","0.0","2014-2015","415-bon"
"10","8","Mangold A. (PG)","38","36","21:34","4.0","0.4","0.8","46.9%","0.7","2.7","27.2%","1.1","3.6","31.9%","1.0","1.3","79.6%","1.8","0.4","2.2","2.0","0.8","1.1","0.0","2.7","5.3","0.8","0.0","2014-2015","415-bon"
"11","12","Koch F. (SF)","38","0","07:21","2.6","0.6","1.2","44.7%","0.4","1.0","37.8%","0.9","2.2","41.7%","0.4","0.5","80.0%","0.5","0.2","0.7","0.4","0.1","0.4","0.1","0.8","2.1","-0.6","0.0","2014-2015","415-bon"
"12","16","Michel T. (PF)","3","0","02:49","1.7","0.0","0.0","0.0%","0.3","0.3","100.0%","0.3","0.3","100.0%","0.7","0.7","100.0%","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.7","-1.3","0.0","2014-2015","415-bon"
"13","17","Lodders R. (C)","3","0","02:38","0.7","0.3","0.7","50.0%","0.0","0.0","0.0%","0.3","0.7","50.0%","0.0","0.0","0.0%","0.3","0.0","0.3","0.0","0.0","0.3","0.0","0.0","0.3","-3.7","0.0","2014-2015","415-bon"
"14","18","Blass V. (SG)","1","0","02:42","0.0","0.0","0.0","0.0%","0.0","0.0","0.0%","0.0","0.0","0.0%","0.0","0.0","0.0%","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","2014-2015","415-bon"
"15","24","Richard P. (SG)","33","25","30:24","13.1","1.8","4.1","44.1%","2.4","6.0","40.1%","4.2","10.1","41.7%","2.2","2.9","77.1%","2.7","1.0","3.7","2.8","0.9","1.6","0.2","1.9","12.4","-1.1","0.0","2014-2015","428-mbc"
"16","11","Standhardinger C. (SF)","32","26","22:01","10.1","3.3","7.1","45.8%","0.2","1.3","14.0%","3.4","8.4","40.7%","3.1","4.5","67.6%","2.9","1.8","4.7","0.7","0.6","1.1","0.1","2.2","8.7","-2.3","0.0","2014-2015","428-mbc"
"17","10","Massenat F. (PG)","34","15","26:02","10.1","2.0","3.7","54.4%","1.4","3.9","36.6%","3.4","7.6","45.2%","1.8","2.4","75.0%","1.7","0.3","2.0","3.9","0.7","2.0","0.2","2.5","10.1","0.1","0.0","2014-2015","428-mbc"
"18","13","Vilhjalmsson H. (PG)","33","32","25:35","10.1","1.7","3.6","47.5%","1.5","4.5","32.4%","3.2","8.1","39.2%","2.2","2.7","84.1%","1.5","0.4","1.9","2.4","0.9","1.7","0.1","2.2","8.2","-1.6","0.0","2014-2015","428-mbc"
