"","jersey_number","name","games","games_started","minutes","points","fgm_2","fga_2","p2_perc","fgm_3","fga_3","p3_perc","fgm","fga","fg_perc","ftm","fta","ft_perc","dr","or","tr","as","st","to","bs","pf","ef","plus_minus","dbl_dbl","season","team"
"1","23","Teague D. (SG)",18,17,"32:31","20.4",5.9,12.4,"47.5%",1.7,5.3,"32.3%",7.6,17.7,"43.0%",3.5,5,"70.0%",3.5,1.2,4.7,0.8,1.5,1.6,0.1,2.4,"14.3",-5.3,0,"2009-2010","421-gie"
"2","32","Jeffers M. (SF)",27,24,"30:59","14.4",3.4,6.3,"55.0%",1.5,4.3,"35.3%",5,10.6,"47.0%",3,3.8,"79.4%",3.2,0.9,4,1.3,0.8,1.8,0.1,2.7,"12.5",-1.7,0,"2009-2010","421-gie"
"3","15","Ovcina E. (C)",14,14,"31:27","14.1",5.1,8.8,"57.7%",0.7,2.2,"32.3%",5.8,11,"52.6%",1.8,2.6,"69.4%",5.8,2.3,8.1,2.8,0.4,2.9,1,2.1,"17.4",-6.2,0.4,"2009-2010","421-gie"
"4","43","Jeanty O. (SG)",14,13,"32:48","13.1",1.4,2.6,"54.1%",2.5,6.1,"40.7%",3.9,8.8,"44.7%",2.8,3.2,"86.7%",2.2,0.1,2.3,1.4,0.7,2.3,0,3,"10.0",-0.9,0,"2009-2010","421-gie"
"5","5","Williams L. (PG)",25,24,"31:36","11.4",3.4,5.7,"58.7%",1,3,"33.8%",4.4,8.7,"50.2%",1.6,2.4,"67.2%",1.3,0.4,1.6,3.6,0.8,2.2,0.1,2,"10.2",-2.5,0,"2009-2010","421-gie"
"6","7","Johnson K. (PF)",34,24,"27:20","9.1",3.3,5.8,"56.6%",0.5,2.2,"24.0%",3.8,8,"47.6%",0.9,1.3,"68.2%",4.9,2.3,7.2,0.9,0.5,1,0.6,2.4,"12.7",-2.2,0.1,"2009-2010","421-gie"
"7","13","Lischka J. (SF)",26,6,"15:30","5.4",1.8,3.5,"50.0%",0.2,0.5,"30.8%",1.9,4,"47.6%",1.4,2.5,"56.1%",2.7,0.8,3.5,0.5,0.7,1.8,0.2,1.3,"5.3",-2.2,0,"2009-2010","421-gie"
"8","34","Werner J. (PF)",32,11,"15:55","5.3",2.2,3.7,"60.2%",0.1,0.7,"13.0%",2.3,4.4,"52.5%",0.6,1.3,"47.5%",2.4,1.4,3.8,0.4,0.5,0.9,0.2,2.3,"6.6",-2.1,0,"2009-2010","421-gie"
"9","31","Tapuskovic S. (SG)",21,1,"13:23","4.9",1.3,2.2,"57.4%",0.5,1.6,"29.4%",1.8,3.9,"45.7%",0.9,1.1,"82.6%",1.1,0.4,1.4,0.6,0.4,1,0.1,1.6,"4.1",-4.7,0,"2009-2010","421-gie"
"10","24","Freese J. (C)",30,7,"16:02","4.3",1.5,3.8,"40.4%",0,0.1,"0.0%",1.5,3.9,"39.3%",1.2,1.9,"62.1%",1.7,1.2,3,0.2,0.2,0.8,0.2,2.2,"4.0",-4,0,"2009-2010","421-gie"
