"","jersey_number","name","games","games_started","minutes","points","fgm_2","fga_2","p2_perc","fgm_3","fga_3","p3_perc","fgm","fga","fg_perc","ftm","fta","ft_perc","dr","or","tr","as","st","to","bs","pf","ef","plus_minus","dbl_dbl","season","team"
"1","11","Pinnock D. (SG)",8,7,"32:09","15.0",3.5,9.3,"37.8%",1.9,5.6,"33.3%",5.4,14.9,"36.1%",2.4,3.9,"61.3%",4.5,1.1,5.6,2.3,1,2.9,0.8,2.3,"10.8",0,0,"2006-2007","421-gie"
"2","33","Roessler R. (SF)",33,27,"26:52","11.2",1.7,4.6,"36.4%",1.9,5.7,"33.7%",3.6,10.2,"34.9%",2.1,2.8,"75.3%",1.9,0.5,2.5,1.1,0.9,2.1,0.1,1.4,"6.2",0,0,"2006-2007","421-gie"
"3","12","Trotter O. (PG)",32,31,"32:04","10.9",2.3,5.2,"44.8%",1.5,4.4,"34.3%",3.8,9.5,"40.0%",1.8,2.6,"68.7%",2.8,0.8,3.5,2.8,2,2.4,0.2,2.6,"10.5",0,0,"2006-2007","421-gie"
"4","7","Terdenge G. (PF)",31,29,"24:58","10.3",3,5.4,"56.6%",0.7,2.1,"35.9%",3.8,7.4,"50.9%",2,2.5,"80.5%",3.1,1.9,5,0.8,0.6,1.7,0.2,2.9,"11.2",0,0,"2006-2007","421-gie"
"5","13","Maras R. (C)",33,33,"28:15","9.5",3.6,7.3,"49.6%",0.2,0.5,"33.3%",3.8,7.7,"48.6%",1.8,2.4,"74.7%",4.6,2.2,6.9,0.6,0.6,1.7,0.6,3.1,"11.8",0,0.2,"2006-2007","421-gie"
"6","11","Helms M. (SG)",6,1,"20:58","7.8",1.8,4.8,"37.9%",0.8,4.3,"19.2%",2.7,9.2,"29.1%",1.7,2,"83.3%",0.8,0.2,1,1.2,1.3,2.3,1,1.5,"3.2",0,0,"2006-2007","421-gie"
"7","5","Head J. (PF)",24,1,"19:16","7.0",1.9,3.9,"48.9%",0.7,1.8,"37.2%",2.6,5.7,"45.3%",1.2,2.3,"52.7%",3,1.4,4.4,0.5,1,1.2,0.3,2,"7.7",0,0.1,"2006-2007","421-gie"
"8",NA,". ()",10,1,"22:42","7.0",1.6,4,"40.0%",0.8,3.5,"22.9%",2.4,7.5,"32.0%",1.4,2.1,"66.7%",1.5,0.5,2,1.5,0.7,2.4,0.2,2.3,"3.2",0,0,"2006-2007","421-gie"
"9","24","Francois J. (SF)",33,30,"23:15","6.7",1.9,4.5,"42.0%",0.6,2.1,"30.0%",2.5,6.7,"38.2%",0.9,1.3,"72.1%",2.3,1.6,3.9,0.8,0.6,1.4,0.3,1.5,"6.4",0,0,"2006-2007","421-gie"
"10","4","Snider B. (PG)",34,6,"19:34","5.2",1.4,3.3,"42.5%",0.5,2.2,"22.7%",1.9,5.5,"34.6%",0.9,1.4,"61.2%",1.9,0.9,2.9,1.5,0.4,1.2,0.1,1.4,"4.7",0,0,"2006-2007","421-gie"
