"","jersey_number","name","games","games_started","minutes","points","fgm_2","fga_2","p2_perc","fgm_3","fga_3","p3_perc","fgm","fga","fg_perc","ftm","fta","ft_perc","dr","or","tr","as","st","to","bs","pf","ef","plus_minus","dbl_dbl","season","team"
"1","11","Stevenson G. ()",23,0,"28.65","15.2",3.8,7.3,"51.8%",1.4,4.3,"33.7%",5.2,11.6,"45.1%",3.3,4.6,"71.7%",4.5,1.3,5.8,2,1.4,2.3,0.2,2.6,"14.6",0,0,"2001-2002","421-gie"
"2","7","Stafford R. ()",29,0,"29.55","15.1",2,4.3,"47.6%",2.3,5.8,"39.9%",4.3,10.1,"43.2%",4.1,5.2,"80.0%",3.7,0.8,4.5,2.6,1.7,1.8,0,2.8,"15.5",0,0,"2001-2002","421-gie"
"3","12","Gill T. ()",5,0,"34.20","14.2",3.2,5.2,"61.5%",2.2,4.8,"45.8%",5.4,10,"54.0%",1.2,1.6,"75.0%",2.6,0.6,3.2,3,0.8,2.4,0,2,"13.8",0,0,"2001-2002","421-gie"
"4","9","Lux T. ()",29,0,"28.21","13.3",5.3,10.5,"50.2%",0,0.1,"0.0%",5.3,10.6,"49.8%",2.7,3.9,"70.5%",4.9,3.2,8.1,0.8,1,1.3,0.7,3.5,"16.1",0,0,"2001-2002","421-gie"
"5","4","Mitchell M. ()",26,0,"30.15","12.5",4.1,7.9,"51.9%",0.5,2,"23.5%",4.6,9.9,"46.3%",2.9,4.2,"68.2%",2.5,1.7,4.1,1.8,1.5,2.1,0.2,2.6,"11.3",0,0,"2001-2002","421-gie"
"6","12","Donlon W. ()",20,0,"27.15","8.8",2.1,4.6,"44.6%",1.3,2.8,"46.4%",3.4,7.4,"45.3%",0.8,1,"75.0%",1.8,0.4,2.2,4,0.7,1.7,0,1.9,"9.5",0,0,"2001-2002","421-gie"
"7","13","Musch D. ()",29,0,"24.52","8.6",3.6,6.6,"53.9%",0,0.1,"50.0%",3.6,6.7,"53.9%",1.3,2,"66.1%",2.9,1,3.9,0.7,0.4,0.9,0.5,3.2,"9.3",0,0,"2001-2002","421-gie"
"8","8","Grey R. ()",27,0,"15.74","6.0",1.1,2.6,"42.9%",0.9,2.1,"43.9%",2,4.7,"43.3%",1,1.4,"71.8%",1.3,0.4,1.7,1,0.4,1,0.1,2.2,"5.1",0,0,"2001-2002","421-gie"
"9","15","Zdravkovic R. ()",23,0,"14.65","3.0",0.7,2,"37.0%",0,0.3,"14.3%",0.8,2.3,"34.0%",1.4,2.5,"57.9%",1.1,0.2,1.3,1.1,0.5,1,0.1,1.7,"2.5",0,0,"2001-2002","421-gie"
"10","10","Scruggs R. ()",10,0,"07.80","2.1",0.7,1.6,"43.8%",0.2,0.2,"100.0%",0.9,1.8,"50.0%",0.1,0.1,"100.0%",0.1,0,0.1,0.5,0.2,0.6,0,0.5,"1.4",0,0,"2001-2002","421-gie"
"11","5","Froemel N. ()",12,0,"06.83","2.1",0.8,1.7,"45.0%",0,0,"0.0%",0.8,1.7,"45.0%",0.6,0.7,"87.5%",1.1,0.8,1.9,0.2,0.1,0.4,0.1,0.8,"2.9",0,0,"2001-2002","421-gie"
"12","6","Sela G. ()",4,0,"15.50","2.0",0.8,2.5,"30.0%",0,0,"0.0%",0.8,2.5,"30.0%",0.5,2,"25.0%",1.5,1,2.5,2.8,1,1.5,0,1.8,"3.5",0,0,"2001-2002","421-gie"
"13","14","Hartenstein F. ()",21,0,"06.95","1.8",0.8,1.9,"41.0%",0,0,"0.0%",0.8,1.9,"41.0%",0.3,0.7,"40.0%",1.1,0.9,2,0.3,0.6,0.2,0.1,1.5,"3.1",0,0,"2001-2002","421-gie"
"14","6","Stein H. ()",10,0,"03.70","1.6",0,0.1,"0.0%",0.5,0.7,"71.4%",0.5,0.8,"62.5%",0.1,0.1,"100.0%",0.3,0.1,0.4,0,0,0.3,0,0.6,"1.4",0,0,"2001-2002","421-gie"
"15","6","Nadjfeji A. ()",34,0,"29.97","16.9",6.1,9.3,"65.9%",0.3,1.1,"30.6%",6.5,10.4,"62.3%",3.6,5.1,"70.1%",4.3,2.2,6.6,1.6,0.8,1.9,0.5,3.9,"18.9",0,0,"2001-2002","415-bon"
"16","7","Beechum H. (SF)",32,0,"33.38","16.7",2.2,4.9,"43.7%",3.2,8.2,"39.2%",5.4,13.2,"40.9%",2.8,3.6,"76.5%",4.2,0.7,4.9,1.4,1.5,1.6,0.2,2.5,"14.5",0,0,"2001-2002","415-bon"
