"","jersey_number","name","games","games_started","minutes","points","fgm_2","fga_2","p2_perc","fgm_3","fga_3","p3_perc","fgm","fga","fg_perc","ftm","fta","ft_perc","dr","or","tr","as","st","to","bs","pf","ef","plus_minus","dbl_dbl","season","team"
"1","25","Ibekwe E. (PF)",8,6,"22:24","14.1",5,8.5,"58.8%",0.3,1.3,"20.0%",5.3,9.8,"53.9%",3.4,4.6,"73.0%",3.4,1.3,4.6,0.9,0.8,1.8,1.4,2.6,"14.3",1.8,0,"2015-2016","421-gie"
"2","17","Braimoh S. (PF)",33,32,"23:47","12.1",3.8,6.6,"57.1%",0.9,2.7,"32.6%",4.6,9.3,"50.0%",1.9,3,"64.7%",2.4,1.3,3.6,1.3,1,2.4,0.6,2.4,"10.6",0.9,0,"2015-2016","421-gie"
"3","25","Olaseni G. (C)",25,23,"27:14","11.6",4.5,7.2,"63.1%",0,0,"0.0%",4.5,7.2,"63.1%",2.6,3.8,"69.2%",4.1,2.9,7,1.3,0.4,1.7,0.9,3.1,"15.8",-0.8,0.3,"2015-2016","421-gie"
"4","9","Hobbs B. (PG)",34,25,"28:30","10.3",1.6,3.3,"48.7%",2,4.9,"41.8%",3.6,8.2,"44.6%",1,1.1,"86.8%",4.3,0.8,5.1,4.9,1.7,1.9,0.1,1.5,"15.6",0.6,0,"2015-2016","421-gie"
"5","10","Bartolo Y. (SF)",33,20,"20:36","9.9",2.9,5,"57.6%",0.8,1.9,"39.7%",3.6,6.9,"52.6%",1.8,3.1,"60.4%",2.8,1.1,3.9,1.4,1,1.7,0.1,2.5,"10.0",-1.2,0,"2015-2016","421-gie"
"6","12","Palm E. (SG)",23,1,"17:17","8.1",0.7,1.5,"47.1%",1.9,4.5,"42.7%",2.6,6,"43.8%",1,1.2,"85.2%",0.7,0,0.7,1.4,0.4,0.6,0,1.4,"6.6",1.4,0,"2015-2016","421-gie"
"7","22","Wells C. (PG)",34,32,"25:23","8.1",2.6,5.7,"46.4%",0.6,1.8,"30.6%",3.2,7.5,"42.6%",1.1,1.5,"76.0%",2.2,0.2,2.4,3.9,0.9,1.4,0.2,1.7,"9.4",-0.5,0,"2015-2016","421-gie"
"8","21","Tadda K. (SG)",29,22,"24:09","5.8",1,2.4,"42.3%",0.7,2.4,"28.6%",1.7,4.9,"35.5%",1.6,2,"82.5%",1.7,0.4,2.1,3.4,1.1,1.1,0.1,2.1,"7.9",-0.1,0,"2015-2016","421-gie"
"9","11","DiLeo A. (SG)",20,3,"20:53","5.6",1.3,3.2,"39.1%",0.7,2,"33.3%",1.9,5.2,"36.9%",1.1,1.5,"73.3%",2.1,0.3,2.4,2.2,0.6,1.1,0.1,1.7,"6.0",-2.6,0,"2015-2016","421-gie"
"10","13","Lischka B. (PF)",32,1,"12:14","5.0",1.2,2.4,"50.6%",0.3,0.8,"40.7%",1.6,3.3,"48.1%",1.5,1.9,"78.7%",1.5,0.7,2.2,0.3,0.3,0.9,0.1,1.9,"4.7",-1.6,0,"2015-2016","421-gie"
"11","34","Wragge E. (PF)",32,3,"12:05","4.8",0.1,0.3,"37.5%",1.4,3.3,"42.9%",1.5,3.5,"42.5%",0.4,0.5,"80.0%",1.1,0.4,1.5,0.3,0.1,0.5,0.1,2.1,"4.1",-0.5,0,"2015-2016","421-gie"
"12","8","Zazai A. (PG)",27,0,"09:01","2.7",0.7,1.6,"40.9%",0.2,0.7,"31.6%",0.9,2.3,"38.1%",0.7,1,"76.9%",0.5,0,0.5,2.1,0.3,0.7,0,1.3,"3.2",-1.8,0,"2015-2016","421-gie"
"13","44","Schoo B. (C)",23,2,"05:47","1.8",0.7,1.4,"51.5%",0,0,"0.0%",0.7,1.4,"51.5%",0.3,0.5,"72.7%",0.6,0.6,1.2,0,0.2,0.4,0.2,1.2,"2.2",-2.3,0,"2015-2016","421-gie"
"14","30","Kutzschmar S. (PG)",2,0,"04:42","1.0",0.5,1,"50.0%",0,0.5,"0.0%",0.5,1.5,"33.3%",0,0,"0.0%",0,0.5,0.5,1,0,0,0,0.5,"1.5",0.5,0,"2015-2016","421-gie"
"15","7","Kovalev K. (SF)",4,0,"03:19","0.0",0,0.3,"0.0%",0,0.5,"0.0%",0,0.8,"0.0%",0,0,"0.0%",0,0.3,0.3,0,0,0.5,0,0,"-1.0",-3.3,0,"2015-2016","421-gie"
"16",NA,"Pluskota M. (PF)",0,0,"00:00","0.0",0,0,"0.0%",0,0,"0.0%",0,0,"0.0%",0,0,"0.0%",0,0,0,0,0,0,0,0,"0.0",0,0,"2015-2016","421-gie"
"17","4","Gates Y. (C)",6,6,"26:35","14.5",6.2,10.7,"57.8%",0,0,"0.0%",6.2,10.7,"57.8%",2.2,4.2,"52.0%",4.3,1.8,6.2,1.5,0.7,2.5,1,2.7,"14.8",-5.2,0.3,"2015-2016","415-bon"
"18","13","White A. (PF)",34,28,"27:25","13.4",3.9,6.6,"58.2%",0.7,2,"36.2%",4.6,8.6,"53.1%",3.4,4.6,"75.0%",4.1,1.7,5.7,1.2,0.8,1.5,0.3,2,"14.6",-3.1,0.1,"2015-2016","415-bon"
"19","9","Marshall S. (SF)",16,14,"27:04","12.6",3.6,6.8,"52.8%",1.1,3.3,"34.6%",4.7,10,"46.9%",2.1,2.8,"73.3%",2.6,0.9,3.5,1.9,0.3,1.6,0.1,2.4,"10.7",-4.5,0,"2015-2016","415-bon"
"20","15","Clarke R. (PG)",33,9,"24:05","11.5",1.5,3.1,"47.6%",2.2,5.1,"43.5%",3.7,8.2,"45.0%",1.9,2.2,"84.9%",1.5,0.4,1.9,2.9,0.6,1.2,0,2.3,"10.8",-0.1,0,"2015-2016","415-bon"
"21","11","Klimavicius T. (C)",27,12,"23:28","11.2",4.4,6.6,"67.8%",0.2,0.6,"40.0%",4.7,7.1,"65.6%",1.7,2.5,"67.2%",4.1,1.9,6,1.7,0.5,1.9,0.5,1.9,"14.8",1.6,0.1,"2015-2016","415-bon"
"22","4","Silas X. (SG)",5,0,"14:29","9.0",0.4,2.2,"18.2%",1.8,4.4,"40.9%",2.2,6.6,"33.3%",2.8,3,"93.3%",0.6,0,0.6,0.6,0.6,0.8,0,1.6,"5.4",0.6,0,"2015-2016","415-bon"
"23","6","Philmore I. (PF)",23,6,"17:44","8.6",3.3,5.3,"62.0%",0.1,0.3,"25.0%",3.3,5.6,"59.7%",1.8,2.2,"82.4%",1.7,1.7,3.4,0.7,0.2,1.1,0.2,2.6,"9.3",-2.8,0,"2015-2016","415-bon"
"24","10","Lawrence E. (PG)",33,33,"25:48","8.1",1.4,3.5,"39.7%",1,3.8,"27.2%",2.4,7.3,"33.2%",2.2,2.8,"78.7%",2.2,0.5,2.7,7,1.5,2.5,0.2,2.6,"11.5",-3,0,"2015-2016","415-bon"
"25","7","McKinney J. (SG)",24,16,"20:01","7.7",0.9,1.9,"46.7%",1.8,5,"35.5%",2.7,6.9,"38.6%",0.5,0.7,"81.3%",1.5,0.1,1.6,0.7,0.5,0.5,0,2.5,"5.6",-1.1,0,"2015-2016","415-bon"
"26","5","Mädrich D. (C)",31,16,"15:15","7.2",1.6,3.4,"47.1%",0.9,2.4,"36.0%",2.5,5.8,"42.5%",1.5,2,"72.6%",2.7,0.9,3.6,0.5,0.4,1.3,0.3,2.7,"6.8",-5.4,0,"2015-2016","415-bon"
"27","12","Koch F. (SF)",34,18,"16:57","7.0",1.7,3,"56.3%",0.9,2.1,"40.8%",2.6,5.1,"50.0%",1,1.3,"81.4%",2,0.6,2.7,0.9,0.4,0.8,0,1.9,"7.4",-3.7,0,"2015-2016","415-bon"
"28","14","Hall L. (PG)",15,1,"17:19","4.3",1.1,3.3,"32.0%",0.6,2.1,"28.1%",1.7,5.5,"30.5%",0.3,0.4,"83.3%",1.3,0.4,1.7,4.1,0.7,1.9,0.1,1.9,"5.1",-6.3,0,"2015-2016","415-bon"
"29","9","Chylinski M. (SG)",7,0,"18:54","4.1",0.6,2.3,"25.0%",0.9,3.9,"22.2%",1.4,6.1,"23.3%",0.4,0.6,"75.0%",0.9,0.6,1.4,1,0.4,0.6,0.1,2.4,"1.7",-4.4,0,"2015-2016","415-bon"
"30","19","Beverly G. (PF)",2,0,"18:27","4.0",1,3,"33.3%",0,0,"0.0%",1,3,"33.3%",2,3,"66.7%",2,1,3,1,0.5,0,0.5,3.5,"6.0",-4.5,0,"2015-2016","415-bon"
"31","8","Mangold A. (PG)",26,11,"18:35","2.3",0.2,0.8,"25.0%",0.4,1.3,"32.4%",0.6,2.1,"29.6%",0.7,0.8,"77.3%",1.8,0.6,2.4,1.8,0.8,0.9,0,2.6,"4.7",-2.9,0,"2015-2016","415-bon"
"32","17","Lodders R. (C)",7,0,"09:41","2.3",0.4,1.3,"33.3%",0,0,"0.0%",0.4,1.3,"33.3%",1.4,2.6,"55.6%",0.4,0,0.4,0.1,0,0.1,0,1.3,"0.7",-5.1,0,"2015-2016","415-bon"
"33","18","Blass V. (SG)",8,0,"03:53","0.6",0.1,0.3,"50.0%",0.1,0.3,"50.0%",0.3,0.5,"50.0%",0,0,"0.0%",0.1,0.3,0.4,0.1,0,0,0,0.9,"0.9",-3.5,0,"2015-2016","415-bon"
"34",NA,"Michel T. (PF)",0,0,"00:00","0.0",0,0,"0.0%",0,0,"0.0%",0,0,"0.0%",0,0,"0.0%",0,0,0,0,0,0,0,0,"0.0",0,0,"2015-2016","415-bon"
"35","10","Massenat F. (PG)",34,34,"31:32","13.2",2.6,5.2,"49.4%",1.9,5.3,"36.3%",4.5,10.5,"42.9%",2.2,3.1,"73.1%",1.8,0.5,2.3,5.3,1,2.2,0,3.1,"12.7",-5.4,0.1,"2015-2016","428-mbc"
"36","33","Hatten M. (PG)",26,26,"32:47","12.9",2.3,4.3,"52.7%",2.1,7,"29.7%",4.3,11.3,"38.4%",2.1,2.6,"82.1%",3.4,0.6,4,5.1,1.9,2.4,0.2,2.9,"14.4",-4.4,0,"2015-2016","428-mbc"
"37","35","Thomas T. (PF)",31,31,"29:37","12.9",4.5,7.5,"60.3%",0.7,2.2,"32.4%",5.2,9.7,"54.0%",1.7,2.5,"69.7%",5.1,2,7.1,2.3,1.1,1.8,1.6,2.3,"18.0",-5.2,0.2,"2015-2016","428-mbc"
"38","31","Southerland J. (SF)",16,3,"26:38","12.7",2,3.6,"56.1%",2.4,6,"39.6%",4.4,9.6,"45.8%",1.6,1.9,"80.7%",3.8,0.6,4.4,1.1,0.6,1.3,0.9,2.1,"12.8",-1.4,0.1,"2015-2016","428-mbc"
"39","31","Dragovic N. (PF)",8,1,"24:58","12.0",1.6,4,"40.6%",2.4,5.6,"42.2%",4,9.6,"41.6%",1.6,2.1,"76.5%",3.5,0.9,4.4,1.3,0.6,1.4,0.1,2,"10.9",-3.9,0,"2015-2016","428-mbc"
"40","42","Otule C. (C)",31,30,"23:31","11.3",4.3,6.8,"62.9%",0,0,"0.0%",4.3,6.8,"62.9%",2.8,4.1,"67.7%",2.8,2,4.8,0.6,0.5,2.2,1.1,2.3,"12.1",-5.1,0,"2015-2016","428-mbc"
"41","33","Siriscevic I. (SF)",4,4,"21:54","10.5",1.3,3.5,"35.7%",2,4.5,"44.4%",3.3,8,"40.6%",2,2.3,"88.9%",2.8,0.5,3.3,1.3,0.8,1.3,0,2,"9.5",-8,0,"2015-2016","428-mbc"
"42","34","Jeter L. (PG)",17,3,"21:53","8.1",1.6,3.3,"50.0%",1.3,3.7,"34.9%",2.9,7,"42.0%",0.9,1.1,"88.9%",1.5,0.6,2.1,3.1,0.8,1.7,0.1,2.7,"8.3",-5.9,0,"2015-2016","428-mbc"
"43","34","Darby L. (SF)",15,0,"17:28","7.6",2.3,3.5,"64.2%",0.3,1.3,"25.0%",2.6,4.9,"53.4%",2.1,2.3,"88.6%",0.6,0.7,1.3,1.1,0.5,1.2,0.1,2.5,"6.9",-5.6,0,"2015-2016","428-mbc"
"44","9","Johnson D. (SF)",34,27,"25:12","7.4",1,2.4,"42.7%",1.4,4,"36.3%",2.5,6.4,"38.7%",1,1.4,"74.5%",2.1,0.4,2.5,2,0.6,1.4,0.1,2.4,"6.9",-2.9,0,"2015-2016","428-mbc"
"45","31","Palsson H. (SF)",5,5,"19:30","7.0",1,2.2,"45.5%",1.6,3.6,"44.4%",2.6,5.8,"44.8%",0.2,0.4,"50.0%",2.6,0.2,2.8,1.4,0.4,1.8,1,2,"7.4",-11.8,0,"2015-2016","428-mbc"
"46","15","Bundovic F. (PF)",10,0,"13:22","5.7",0.7,2.1,"33.3%",0.9,3.1,"29.0%",1.6,5.2,"30.8%",1.6,2,"80.0%",1.5,0.7,2.2,0.1,0.2,0.9,0.3,1.9,"3.6",-2.2,0,"2015-2016","428-mbc"
"47","30","Haukohl S. (SF)",32,4,"12:06","3.8",0.9,1.7,"54.7%",0.4,1,"37.5%",1.3,2.7,"48.2%",0.8,1.2,"73.0%",1.7,0.6,2.3,0.4,0.3,0.7,0.1,2.2,"4.4",-2.5,0,"2015-2016","428-mbc"
"48","8","Zinn R. (PG)",23,2,"10:07","2.0",0.3,1.2,"28.6%",0.3,0.8,"31.6%",0.6,2,"29.8%",0.5,0.6,"92.3%",0.6,0.4,1,1.8,0.4,0.6,0,1.2,"3.1",-2.9,0,"2015-2016","428-mbc"
"49","13","Maier J. (C)",26,0,"06:20","1.4",0.5,1.2,"38.7%",0,0,"0.0%",0.5,1.2,"38.7%",0.5,0.7,"68.4%",0.6,0.6,1.2,0.2,0,0.5,0.3,0.9,"1.7",-2.7,0,"2015-2016","428-mbc"
"50","19","Touray A. (C)",5,0,"01:49","0.2",0,0,"0.0%",0,0.2,"0.0%",0,0.2,"0.0%",0.2,0.4,"50.0%",0,0,0,0,0,0.4,0,0,"-0.6",-0.4,0,"2015-2016","428-mbc"
"51","24","Fritze S. (PG)",0,0,"00:00","0.0",0,0,"0.0%",0,0,"0.0%",0,0,"0.0%",0,0,"0.0%",0,0,0,0,0,0,0,0,"0.0",0,0,"2015-2016","428-mbc"
"52","13","Grant K. (SG)",34,34,"31:53","15.2",3.3,7.4,"44.6%",1.9,5.5,"34.2%",5.2,12.9,"40.2%",3,3.6,"82.3%",2.9,0.6,3.5,2.4,1.9,2.1,0.2,2.3,"12.7",-0.9,0,"2015-2016","422-bra"
"53","10","Needham D. (PG)",31,30,"30:12","15.0",3.1,5.9,"53.0%",2,5.5,"35.5%",5.1,11.5,"44.5%",2.8,3.4,"82.1%",2.9,0.6,3.5,3.8,1.5,2.5,0.1,2.7,"14.4",0.8,0,"2015-2016","422-bra"
"54","7","Nash T. (PF)",34,34,"29:11","10.9",3.9,6.6,"58.5%",0.2,0.7,"24.0%",4,7.3,"55.0%",2.6,4,"66.7%",4.1,2.1,6.1,2.2,1,1.3,0.2,2.3,"14.4",-1,0,"2015-2016","422-bra"
"55","32","Frease K. (C)",34,32,"23:55","9.1",3.9,7.5,"51.8%",0,0,"0.0%",3.9,7.5,"51.8%",1.4,3.2,"42.6%",4.4,1.9,6.3,2.4,0.5,1.8,1.4,2.2,"12.4",0.5,0.1,"2015-2016","422-bra"
"56","11","Stevens A. (PF)",34,2,"15:29","7.8",3.3,5.9,"56.8%",0,0,"0.0%",3.3,5.9,"56.5%",1.2,2.1,"55.6%",2.8,1.4,4.2,0.7,0.7,0.8,0.4,2.1,"9.5",-2.5,0,"2015-2016","422-bra"
"57","55","Anderson J. (PG)",12,4,"23:00","7.7",2.2,4.2,"52.0%",0.7,2.2,"30.8%",2.8,6.3,"44.7%",1.3,1.7,"80.0%",1.8,0.4,2.3,2.3,0.9,1.3,0,1.6,"7.9",-4.7,0,"2015-2016","422-bra"
"58","21","Gasser J. (PG)",12,0,"18:41","6.6",0.7,1.7,"40.0%",1,2.2,"46.2%",1.7,3.8,"43.5%",2.3,2.6,"87.1%",2.6,0.3,2.8,1.6,0.4,0.8,0.1,2.4,"8.3",2.5,0,"2015-2016","422-bra"
